"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,136.3,87.8,162.6,161.2,169.8,215.7,NA,179.6,120.5,120.5,154.5,164.3,281.5,215.2,130.1,98.4,182.7,182.9,109.8,87.8
"historical",1851,140,84.9,163.3,103.6,168.8,178.6,130.7,102.6,151.9,142.3,193.5,181.3,180.7,175.1,74.8,134.1,126.5,123.4,93.5,74.8
"historical",1852,130.6,82.8,173.9,99.2,148.2,220.2,125.7,138.3,99.8,157,160.8,148.5,229,187.8,128.4,96.8,232.7,189.7,125.7,82.8
"historical",1853,168.8,58.9,94.2,146.6,155.4,189.9,114.9,178.3,119.1,175.1,184.9,178.5,210,163.3,89.6,113.3,213,171,113.7,58.9
"historical",1854,146.7,76,149,112.2,147.9,135.4,107.1,143.1,135.7,133.2,167.8,177.4,242.3,213.8,152.9,116.6,178.2,160.2,135.3,76
"historical",1855,123.7,75,143.3,127.8,170,190.8,119.1,120.4,125.6,159.5,125,121.9,169.2,141.7,114.5,88,184.9,188.5,104.7,75
"historical",1856,122.2,61,148.6,155.5,187.2,158.6,108.8,205.6,105.5,132.1,223.5,152.8,176.1,165.3,142.9,113.9,204.9,194.1,108.1,61
"historical",1857,135.8,60.3,141.2,96.4,186.5,178.4,133.4,195.9,143.8,76.3,184.1,226.2,220.7,190.9,112.4,120.7,211.4,156.8,136.6,60.3
"historical",1858,90.9,78.3,128,111.7,188.4,192.6,142.7,101.8,149.6,138.3,167.6,155.6,197.7,147,129.5,110.3,181.2,139.1,101.4,78.3
"historical",1859,137.3,72.7,164.5,145.5,154.4,212.4,136.4,146.1,144.1,159.3,191.5,104.5,202.5,234.5,126.8,85.3,189.3,144.8,146.5,72.7
"historical",1860,131,73.7,190.3,150.4,170,177.6,102,142.2,94.8,146.6,180.9,153.8,174.7,208.3,119.3,124,157.8,117.2,127.1,73.7
