"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,40.3,75,95.6,52.1,94.7,46.3,NA,83,61.7,64.3,45.4,73.9,125.3,102.4,66.2,60.4,120.9,87.7,66.9,40.3
1851,68.9,121.2,23.9,68.9,76.2,79.6,79.2,107.4,54.2,68.6,61.3,80.4,96.3,81.5,64.7,75.3,97.3,129.1,69.9,23.9
1852,69.7,81.2,91.9,75.2,71.8,47.8,60.3,116.8,58.8,40.2,58.2,61.5,77.6,84,54.4,82.1,70.5,103.8,42.2,40.2
1853,66.5,83.4,126.2,74.2,76.5,73.5,83.9,105,62.3,50.1,56.2,64.3,106.3,60.5,55.3,77.2,126.4,123.9,63.1,50.1
1854,46.7,102.2,75.3,87.1,63.5,66.7,59.5,115.1,66.6,53,72.4,60.9,103.1,65.8,70.2,75.6,111.4,100.5,60.4,46.7
1855,64.7,71.4,100.2,77.1,54.9,67.4,72.4,119.9,65.3,43,52.8,66.1,117.6,84.1,58.2,92.1,97.3,96.1,62.6,43
1856,44.1,94.7,93.3,85.1,77.6,68.7,96.2,124,81.9,59.7,66.1,58.2,117.7,57,45.7,56.6,112.2,89.6,57.6,44.1
1857,52.5,75,96.2,63,81.5,84.8,76.8,115.9,49.5,42.1,60.7,72.4,109.6,71.2,62.5,85.5,106.5,95.1,63.9,42.1
1858,45.4,79.8,128.9,83.4,61.7,63.5,59.4,109,65.5,73,54.8,58.2,83.6,58.7,28.1,82.8,72.4,79.9,59.6,28.1
1859,60.3,81.9,102.8,74,57.4,68.6,72,90.8,77.9,50.7,58.9,56,95.6,67.3,71.9,64.3,110.8,95.7,33.5,33.5
1860,66.8,70.8,94,68.3,60.4,87.3,82.6,138.8,68.8,44.6,59.8,51.5,90.4,96.6,106.7,84.9,121.1,81.9,71.2,44.6
1861,53.9,59.8,89.4,63,80.2,66.2,82.7,113.5,73,52.4,50.6,61.5,139.7,67.2,52.8,66,79.9,61,46.3,46.3
1862,53.9,95.2,89,76.6,78.8,59.5,61.5,74,84.7,64.2,39.2,55.3,107.4,90.4,73.6,77.5,103.5,108.2,75.7,39.2
1863,64.7,58.5,92.7,98.2,63.3,65.5,98.5,82,37.7,30.8,73.9,43.9,109.8,88.2,40,91.1,108.7,110.7,53.1,30.8
1864,84.7,95,95.8,70.3,64.8,74.4,60.7,123.3,52.4,81.9,64,50.9,92.4,72.3,75.5,58.3,75.3,109.1,53.4,50.9
1865,47.9,103.1,83.1,61.7,54.7,81.6,68.7,125.6,50.6,86.2,60.7,52.5,86.5,55.3,83.7,69.2,104.9,75.1,46.9,46.9
1866,41.5,54,89.1,81.3,87.2,58.9,68.3,96.6,40.4,48.9,62.3,72.8,100.9,83.1,89.7,78.3,112.5,83.6,65.1,40.4
1867,55.1,128.4,56.1,74.7,74,41.9,93.4,71.3,79.8,45.3,55,99.5,115.2,95.5,68.7,58.5,116.5,81.8,54.9,41.9
1868,57,72,63.6,67.1,71.2,81.4,61.1,70,31.5,78.5,68.9,35.6,94.4,83,75.6,56.3,80.1,94.1,54.5,31.5
1869,40.4,108.4,127.1,72.1,54.5,77.4,62.1,54,66.2,51.7,54.6,58.7,106.4,66.4,87,73.5,67.9,119,44.2,40.4
