"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,171.1,247.6,334.7,256.2,278.4,332.6,184.2,333,307.4,161.8,361.3,302.7,378.3,272.7,291.8,222.9,328,421.9,232.1,161.8
2016,182.6,319,416.9,229.3,265.7,362.5,242.4,332.1,274.4,292.1,366.4,323,359.2,240.4,278,220.7,354.3,307.3,183.4,182.6
2017,147.3,293,442,278.9,313.5,367.6,199.4,321.4,236.8,298.5,384.2,338.2,313.9,285.9,351.9,299.9,311.5,374.2,244.7,147.3
2018,193.5,399.2,257.2,238.3,316.8,285.2,286,331.6,244.3,255.7,403.3,317.6,299.1,290.5,297.4,273.6,419.1,382.9,218,193.5
2019,203.8,334.2,343.8,299.4,334.8,389.7,248.1,407.6,258.4,347.5,278.5,371.4,474.9,247.2,254.9,287.8,382.3,263.7,203.9,203.8
2020,194.1,401.8,405.7,270.4,388.4,348.8,273.1,364.1,247.5,228.7,335.3,300.5,357.6,256.3,332.3,227,472.2,320.2,257.4,194.1
2021,173.8,276,302.1,256.3,296.8,375.6,274.4,374,213.9,298.4,389,325.4,375.4,305.2,307.5,264.7,409,355.5,168.1,168.1
2022,214.1,338.4,463.8,296.6,333.9,343.5,294.8,346.2,314.4,269.8,294.3,352,334.1,297.3,325.6,301.7,417.9,318.3,258,214.1
2023,227.2,327,422.4,260,256.4,321.5,218.8,342.7,224.7,285.7,289.3,342.6,326.7,274.7,287.8,279.6,303,394.8,248,218.8
2024,202.9,316.4,326.2,296.2,315.6,382.3,234.7,390.6,338.7,222.2,427.2,316,365.4,295.5,270.6,254.7,349.6,274.4,193.1,193.1
2025,170.3,261.5,427,278.6,275.3,320,239.2,327.9,268.6,277.9,450.4,368,277.7,264.2,315.9,264.1,596.2,353.7,233.3,170.3
2026,168.7,471.2,409.6,277.1,315.7,325.5,270.2,349,255.3,189.2,473,242.4,353.1,275,260.2,254.9,386,307.9,270.7,168.7
2027,211.7,375.2,354.6,285.7,373.8,297.5,253.8,368.6,280,217.2,471.9,396.1,418.3,227.7,266,218.5,530.6,383.4,209.4,209.4
2028,166,319.9,384.7,289.9,336.4,368.7,218.5,419.9,283.8,220.8,416.7,313.7,263.2,266.8,266.1,232.3,367.6,257.3,194.4,166
2029,179.2,301.6,427.4,264.7,328.4,315.6,269.3,344.8,286,225.7,359.7,374.2,362.5,278.3,353,236.9,418.1,369.9,185.5,179.2
2030,190.2,384.5,330.1,254.9,332.8,350.1,214.5,380.6,260.7,253.7,314,421.5,487.9,272.2,347.8,268.3,463.3,398.8,222.3,190.2
2031,196.8,362.9,348.6,257.7,327,370.8,262.2,361.6,276.5,236.6,361.2,383.8,442.6,222.5,279.8,262.5,436.4,346,205.2,196.8
2032,206,252.4,374.4,288.4,304.2,305.7,237,319.3,298.8,317.6,301.1,414.8,441.8,313.3,256.4,247.8,226.4,353.3,223.5,206
2033,151.3,325.1,389.9,308.9,225.9,326.7,194.4,347.9,244.4,266.1,394.6,411.7,376.2,320.8,248.3,303.3,394.6,413.7,218.6,151.3
2034,175.2,289,403,241.3,318.7,310.3,289.6,341,251.1,262.3,395,306.2,394.2,269.1,287.8,267.4,353.7,330.3,206.4,175.2
2035,150.6,311.7,487.6,286.4,297.6,344.9,220.9,392.5,252.9,249.2,420.8,295.7,443.7,322.8,286.7,222.2,402.4,376.1,241.4,150.6
