"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,77.8,19.2,71.3,67.1,72.7,72.3,NA,75.2,72.9,71.6,76.3,64.3,83.9,77.3,73.3,67.7,72.4,94.3,69.6,19.2
"historical",1851,79.3,26,69.7,64.5,72.9,74.9,73.2,68.4,74.6,71.1,78.6,65.7,82.4,77.2,72.3,69.2,70.2,93.8,67.7,26
"historical",1852,78,18.8,72.1,67.5,71,72.7,71.6,73.1,71.8,73.5,75.4,65,81.1,77.7,72.6,68.5,76.2,94.9,69,18.8
"historical",1853,79.6,25.3,65.8,68,71.3,73.3,72.9,74,72.1,75.7,77.4,60.4,84.1,74.6,69,69.9,75.5,94.5,68.7,25.3
"historical",1854,78,26.7,70.7,65.7,73.9,72.4,72.9,75.4,74.9,68.5,77.9,68.7,84.1,76.3,72.9,68.9,74.8,93.8,69.1,26.7
"historical",1855,79,17.4,64.9,68.1,73.2,72.5,71.1,68.7,76,74.1,74.4,64,83.4,75.2,71.3,72,72.7,94.5,69.3,17.4
"historical",1856,79.2,20.1,71.1,63.8,74,72.4,72.2,71.9,74,71.6,78.3,64.7,85.2,75,69.9,70.4,75.7,94.3,69.2,20.1
"historical",1857,76.6,17.8,71.2,66.5,74.7,71.9,73,75.5,75.3,72.4,76.7,66,84.3,75.7,71.8,70.9,72.7,94.3,70.2,17.8
"historical",1858,77.4,19.1,70.9,64.3,73.4,74.3,70.2,70.6,73.4,72.6,78.5,66.6,83.5,75.4,71.4,69.6,76.4,94.3,68.5,19.1
"historical",1859,78.5,24.3,67.9,67.9,74.6,74.4,71,71.9,73.6,72.9,77.9,64.7,84.6,77.5,73.1,69.7,74.7,93.6,70.6,24.3
"historical",1860,77.6,20.3,73.2,69.4,74.1,73.5,69.8,71.9,72.7,74,78.4,64.2,84.3,75.7,70.9,69.5,74.7,94.2,68.4,20.3
"historical",1861,78.3,23.7,68.4,64,71.7,72.2,70.2,72.7,70.8,69.9,76.4,61.5,83.1,75.4,70.2,71,72.8,94.5,71,23.7
"historical",1862,77.4,19.6,69.4,64.2,73.2,74.1,72,73.3,74.4,75.9,75.8,67.1,85.3,77.2,71.7,68.6,71.2,94.3,67.2,19.6
"historical",1863,79,21.8,70.3,64.7,73.6,74.7,70.9,74.5,74.2,66.2,76.2,64.5,83.6,76.4,70.2,67.1,72.9,94.8,66,21.8
"historical",1864,78.9,23.1,71.8,65.5,72.3,73.3,68,73.5,71.5,71.5,75.1,63.4,85.2,75.9,68.9,73.5,77.2,94.5,68.7,23.1
"historical",1865,77.8,20.4,70.8,63.2,74.1,75.2,71.6,67,72.3,73,77.8,65.4,82.1,76.1,64.9,70.6,75.5,94.4,65.8,20.4
"historical",1866,77.6,23.4,73.2,66.3,74,74.2,72.5,73.8,72.5,72.6,78.1,68.4,80.9,77.1,72,69,74,94.1,71,23.4
"historical",1867,76.6,25,71.2,62.2,72.2,74.4,71.8,72.9,74.5,71,78.5,63.3,83.7,75.3,71.4,68.4,73.7,95,67.1,25
"historical",1868,77.9,24,72.6,65.9,72.7,75.3,71.4,74.4,72.2,75.3,77.5,66.7,82.2,76.4,72.7,70.6,74.8,94.3,69,24
"historical",1869,78,21.9,68,65.9,74.7,73.3,70.7,72.1,75.9,73.6,79.2,66.4,84.7,75.2,70.8,71.5,75.5,94,68.1,21.9
"historical",1870,78,25.4,67.7,66.1,73.5,74.7,69.8,74.3,75,75.3,75.7,66.2,83.7,75.3,68.1,71.1,75.3,94.6,69.8,25.4
"historical",1871,78.4,24.9,70.2,67.7,74.3,73.1,74.1,73.4,72.5,75.4,76,64,84.6,74.7,70.5,71.6,75.4,94.7,71,24.9
"historical",1872,76.5,20.2,66.6,68.7,70.6,75.4,72.1,74.2,72.2,73.2,76.2,66.1,84.1,75.6,70.4,68.6,75.8,94.5,68.6,20.2
"historical",1873,78.6,18.1,66.6,66.1,74.5,74.5,69.4,72.9,75.9,71.5,77.3,65.2,83,75.8,71.9,67.4,74.6,94.6,70,18.1
"historical",1874,78.7,23.3,72.9,65.1,71,73.1,70.4,72,73.7,73.5,77.3,66,84.2,78.1,71.3,65,74.1,94.4,69.1,23.3
"historical",1875,78.4,25.4,68.7,67.7,72.1,74.1,72.1,72.1,74.8,72.5,79.3,67.3,84.6,77.4,68.9,68.3,76.4,94.7,69.5,25.4
"historical",1876,77.7,22.1,71,67,69.9,71.9,73.9,73.2,69.7,72.6,76.5,63.2,81.1,76.3,73.6,69,73.6,94.4,71.3,22.1
"historical",1877,78.7,25.7,67.4,67.3,70.3,72.8,73.9,74.1,72.8,74.7,78,66,83.3,75.4,70.7,71.5,73.3,94.2,71.3,25.7
"historical",1878,78.6,21.2,69.7,67,72.6,74,73.2,73.3,69.9,71.9,78.7,65.5,84.3,78.5,71.9,69,70.2,94.2,71.1,21.2
"historical",1879,79.4,24.2,70.1,64.2,73,71.1,70.8,69.4,72.9,75.1,77.1,62.4,85.7,76,70.8,71.6,74.6,94.4,69.6,24.2
"historical",1880,78.6,20.2,67.1,68.7,75.2,71.4,70,71.6,72.2,68.1,77,64,86.5,77.3,72.2,72.2,73.8,93.3,68.8,20.2
"historical",1881,77.8,23.8,70.7,67.1,74.3,72.1,69.6,72.8,72.2,73.1,75.7,65.5,85.5,76.7,70.2,70.2,68.5,94.7,70.2,23.8
"historical",1882,76.5,16.9,70.7,67.8,72.5,74.8,71.6,70.4,73,74.3,75.9,65.1,83,76.5,74.8,69.4,74.1,94.8,70.6,16.9
