"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,-14.2,-20.6,-17,-22.4,-22,-22.4,NA,-13.4,-20.4,-28,-25.5,-28.8,-14.1,-21.5,-22.9,-22.7,-14.3,-27.9,-26.5,-28.8
1851,-16,-21.2,-20.2,-20.7,-24.5,-21.2,-22.9,-15.9,-21.9,-27.1,-25.9,-27.9,-13,-18.3,-20.2,-22.8,-16.2,-24.2,-26.2,-27.9
1852,-14.1,-22.3,-19.8,-23.1,-18.1,-21,-21,-17.1,-23.5,-27.5,-22.1,-22.7,-13.2,-18.7,-20.6,-21.6,-15,-20.3,-24.3,-27.5
1853,-18.4,-22.1,-16.7,-20.2,-19,-15.7,-19.7,-15.3,-20.7,-21.3,-18.6,-25.3,-15.7,-21.6,-24.3,-23,-15.7,-22.8,-26.9,-26.9
1854,-16.7,-20.9,-21.2,-19.3,-19.3,-21.9,-20.1,-17.8,-21.5,-19.8,-24,-25.3,-9.2,-23.9,-24.6,-22.4,-13.1,-29.4,-25.7,-29.4
1855,-15.1,-18.4,-20.7,-21.9,-22.6,-21.5,-26.8,-17.2,-20.9,-23,-22.5,-25.1,-8.1,-17.2,-17.6,-26.2,-15.3,-24.2,-23.7,-26.8
1856,-15.1,-21.5,-21.1,-17.4,-19.7,-19.1,-21.9,-16.4,-24.1,-25.9,-23.8,-24.7,-8.7,-19.1,-19.8,-25.6,-12.1,-23.5,-23.8,-25.9
1857,-13.5,-21.8,-18.5,-20.5,-23.9,-19.3,-23.9,-15.2,-22.4,-20.1,-18.4,-24.7,-10.2,-20.2,-19.9,-21.2,-17.7,-27.8,-22.4,-27.8
1858,-13,-22.9,-23.1,-21,-20.5,-19.4,-22.8,-21.8,-20.8,-22.6,-20.2,-23.6,-13.9,-19,-18.2,-23.6,-12.5,-22.3,-29.2,-29.2
1859,-15.1,-19.7,-21.4,-19.5,-24,-23.4,-22,-18,-22.9,-25.9,-22.5,-26.1,-11.5,-18.8,-22.1,-21.7,-13.3,-26.6,-27.3,-27.3
1860,-14.8,-18.5,-20.5,-19.8,-22.3,-17.3,-24.6,-20.2,-25.5,-25.6,-23.5,-24,-8.4,-16.4,-21.7,-25.1,-16.1,-19,-19.8,-25.6
1861,-15.4,-18,-17,-21.4,-19.5,-20.5,-20.8,-24.1,-16.1,-22.6,-21.7,-26.9,-9.6,-16.5,-24.7,-24.4,-13.8,-23.5,-26.8,-26.9
1862,-14.4,-18.9,-18.1,-21.1,-18.3,-19.4,-18.4,-15.6,-20.6,-22.8,-20.6,-24.3,-11.9,-18.7,-16.2,-26,-18.5,-25.3,-25.4,-26
1863,-15.5,-25.9,-20.4,-23.1,-20.4,-20.3,-21.1,-15,-21.9,-20.9,-22.5,-25,-12.4,-14.5,-21.2,-26.3,-19.4,-18.5,-26.6,-26.6
1864,-15.6,-21.5,-16.5,-18,-19.4,-19.2,-19.7,-13.5,-19.2,-24.7,-21.4,-28,-10.2,-19.4,-21.9,-24.6,-18.9,-22.9,-24.1,-28
1865,-14.1,-22.9,-22.6,-22,-16.9,-21.6,-20,-21,-23.5,-25.5,-21.3,-28.3,-12.1,-18,-24.1,-21.4,-19.9,-24,-29.9,-29.9
1866,-17.5,-21.4,-17.9,-19.1,-19.6,-21,-19.5,-18.3,-24.4,-23,-22.1,-23.2,-10.9,-19.8,-24,-26.4,-16.1,-26.1,-30.1,-30.1
1867,-18.7,-21.1,-17.4,-19.3,-23.4,-18.6,-22.1,-16.3,-19.6,-19.7,-21,-27.1,-11.9,-17,-18.9,-24.6,-19.6,-21.8,-25.6,-27.1
1868,-16,-18.5,-15.3,-20.6,-21.1,-20.8,-23.3,-19.3,-19.4,-22,-23.4,-21.6,-9.9,-19.7,-21.2,-26.1,-18.8,-22.8,-25,-26.1
1869,-16.1,-19.8,-18.1,-15.2,-19.7,-17.4,-22.2,-16.6,-24.2,-21.8,-20.5,-26.5,-12.7,-16.5,-18.1,-25.4,-17.4,-23.7,-24.6,-26.5
1870,-16.3,-25.7,-17.1,-19.2,-18.9,-21.2,-18.2,-18.5,-26,-23.4,-21,-22.7,-11.6,-15.2,-27.8,-24.6,-14.9,-24.5,-24.7,-27.8
1871,-17.1,-21.2,-21.6,-19.1,-19.5,-21.6,-18.7,-22,-17,-26.9,-20.6,-23.1,-11,-17.6,-19.2,-22.5,-13.4,-26.4,-23.7,-26.9
1872,-14.5,-23.4,-16.5,-18.4,-20.8,-21.4,-21.1,-14.7,-22.4,-24.4,-20.2,-25.6,-7.8,-18,-22.6,-25.8,-18.5,-25.7,-25.7,-25.8
1873,-14.7,-21.8,-15.5,-25,-21.3,-17.5,-20,-17.3,-20.6,-26.3,-18.7,-24.7,-9.2,-15.2,-16.4,-25.9,-13.9,-24,-25.6,-26.3
1874,-16.4,-21.4,-21.9,-20.8,-20.5,-21.5,-18.4,-16.2,-21.7,-21.2,-23,-24.2,-15.2,-19.6,-19,-23.9,-16.1,-22.2,-25.6,-25.6
1875,-14.1,-21.7,-15.6,-18.9,-23.4,-18.5,-21.3,-15.1,-21.3,-26,-28.7,-28.3,-11.1,-16.1,-22,-22.9,-17.8,-20.4,-24.2,-28.7
1876,-15.1,-18.7,-16.1,-17.3,-19.5,-19.8,-19.3,-18.5,-20.6,-25.1,-22.1,-24.7,-11.1,-16,-22.1,-23.6,-12.6,-28.3,-29.7,-29.7
1877,-16.9,-20,-20.4,-26.7,-20.3,-20.2,-19.3,-15.9,-24.3,-22.6,-22.9,-24.8,-10.2,-20.4,-19.5,-23.4,-15.2,-22.6,-25.8,-26.7
1878,-16.7,-21.4,-18.2,-18.2,-18.6,-19.5,-22,-19.3,-20.3,-22,-23,-33.7,-15.8,-14.2,-20.8,-23.7,-17.1,-21.3,-24.6,-33.7
1879,-14.4,-20.9,-19,-19.4,-20.7,-20.4,-22.3,-20.3,-22.4,-21.3,-24.2,-25.6,-9.3,-14.5,-19.6,-21.9,-18.3,-18.9,-27.6,-27.6
1880,-14.5,-18.4,-16.3,-23.5,-23.5,-18,-23.9,-18.7,-21.3,-21.7,-21.9,-22,-13.8,-20.9,-21.7,-21.4,-13.6,-23.1,-23.7,-23.9
1881,-17.1,-23.1,-13.5,-15.6,-23.1,-21.4,-19.5,-16.4,-20.8,-22.1,-22.8,-25.4,-9.1,-14.2,-23.2,-23.1,-18.6,-24.5,-23.2,-25.4
