"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,-1.2,0.2,-1.4,-4.4,-2.2,-1.1,NA,-1.6,-2.7,-2,-3.2,-5.2,0,-2,-3.6,-4.4,0.8,-9.4,-0.7,-9.4
1851,-0.1,-0.2,-4.3,-2.8,-2.8,-0.8,-10.3,-2.7,-2.4,-2.1,-2.1,-3.6,-0.2,-1.4,-2.3,-5.2,1.9,-8.8,0.2,-10.3
1852,-0.6,-0.3,-3.2,-1.2,-3.6,-2.2,-8.8,0.9,-3.7,-3,-3.5,-5.5,2.5,-3,-5.1,-5.6,-0.4,-9.5,-2,-9.5
1853,-0.7,1,-4.3,-3.1,-4.6,-0.1,-8.6,1.1,-0.8,-2.9,-3.8,-3.6,1.1,-1.5,-4.4,-5.5,-0.2,-6.3,-0.8,-8.6
1854,-0.9,0.5,-1.3,-3.2,-2.1,-4.2,-9.1,-1.9,-1.6,-4.3,-2,-4.5,1.2,-4.3,-4.6,-6.8,-0.6,-7.4,-2.7,-9.1
1855,-0.7,1,-2.5,-3.3,-1.2,-1.2,-8,-1.8,-0.8,-1.7,-2.1,-2.3,2.4,-4.3,-2.3,-4.4,-3.1,-6.4,-0.1,-8
1856,-0.4,-1,-1.1,-3.6,-2.2,-0.9,-8.3,0.8,-2.5,-1.3,-2.6,-2,4.6,-1.5,-1.3,-4.8,-1,-7.5,-1.3,-8.3
1857,-0.7,0.4,-3.2,-2.7,-1.4,-4.7,-8.3,-1,-2.9,-1.3,-0.9,-4.5,2.8,-1.8,-1.6,-4.8,-2.2,-9.4,-1.1,-9.4
1858,-2.3,0,-1.5,-5,-0.1,-2.2,-8.9,0.3,-1.5,-1.4,-2.2,-3.2,1.3,-1.9,-1.3,-4.5,-0.8,-9.8,-0.1,-9.8
1859,-2.5,0.2,-5.2,-3.2,-1.8,-0.9,-10.8,0.1,-3.1,-2.1,-2.8,-3.8,1.6,-1.3,-3.2,-4.9,1.6,-9.8,-0.2,-10.8
1860,-1.8,0.6,-1.7,-2.5,-3.1,-1.7,-7.4,1.3,-3.8,-1.3,-2.2,-3,4.2,-4.6,-4,-5.2,1.2,-9.3,-0.5,-9.3
1861,-2,1.1,-1.4,-2.2,-3.1,-1.6,-9.2,-2.1,-0.2,-3.6,-2.9,-1.9,2.5,-1,-4.5,-5.4,1.6,-9.5,-0.1,-9.5
1862,-1.2,0.6,-4,-3.6,-2.1,-2.2,-9,-1.2,-0.5,-2.7,-2.4,-2.9,4.6,-2.7,-4.3,-6.2,-0.4,-9.4,-0.9,-9.4
1863,-1.8,0.4,-2.3,-4.7,-3.5,-0.7,-7.7,1.4,-3.1,-2.7,-1.8,-3.5,1,-3.3,-3.6,-7,0.5,-11.1,1,-11.1
1864,-0.6,0.4,0.2,-2.9,-3.3,-0.8,-7.2,-1.6,-3.1,-6.2,-1.9,-3.9,0.6,-3.3,-2.8,-5.2,-0.6,-8.3,0.3,-8.3
1865,-1.2,0,-3,-3.9,-1.4,-1.9,-9.1,0.8,-1.2,-2.4,-1.8,-2.2,2.6,-1.4,-4.3,-5.1,0.1,-9.9,-0.8,-9.9
1866,-2,0.7,-1.9,-6.2,-1,-2.6,-9.5,-1.7,-0.6,-1.9,-1.4,-4,1.8,-2.5,-4.4,-4.6,-1.3,-8.1,-0.1,-9.5
1867,-0.4,1.5,-0.9,-3.7,-4.2,-0.4,-9,0.4,-3.1,-2.4,-3.1,-4.3,1.1,-0.5,-3.7,-8,-2.4,-8.5,-2.8,-9
1868,-0.1,0.6,-3.3,-3.5,-2.3,-3.2,-7.3,1.1,-0.7,-3.3,-2.1,-2.6,0.7,-1.6,-4.1,-3.7,-2.4,-10.8,-2.4,-10.8
1869,-0.2,1.4,-3,-4.5,-2.3,0,-7.8,0.1,-1.8,-3.2,-1.5,-3,1.6,-1,-2.9,-6.2,-1.1,-7.8,0.6,-7.8
1870,-0.9,0.1,-1.3,-2.5,-4.4,-3,-9.5,1,-1,-1,-1.8,-4.2,2.7,-0.9,-3.1,-4.4,-0.5,-9.8,0.3,-9.8
1871,-1.5,0.8,0.3,-2.4,-2.6,-1.5,-7,0,-0.6,-6.1,-4.6,-4.1,-0.5,-2.3,-3.7,-8.4,1.7,-7.8,-0.1,-8.4
1872,-1.8,-0.5,-0.7,-4.7,-1.3,-2.8,-8.4,-0.1,-4.3,-2.7,-3.3,-2.5,0.1,-1.8,-4.2,-4.9,-0.6,-8.8,-0.3,-8.8
1873,-0.5,0.3,-1.9,-4.4,-4.3,-0.8,-7.2,-0.9,-2.7,-1.5,-3,-3.5,2,-2.4,-4.4,-5.2,-1.5,-6.9,0.4,-7.2
1874,0.6,-0.1,-1.1,-3.9,-1.7,-1.4,-7.8,0.7,-3.2,-4,-3.8,-4,2,-3.5,-2.9,-7.7,-1.1,-10,-0.4,-10
1875,-2.3,0.2,-2.5,-1.7,-3.9,-2,-9.9,0,-2.5,-6.3,-0.8,-2.8,3.5,-1.4,-5,-5.2,-1.2,-8.1,-1,-9.9
1876,-1.2,2.8,0.2,-2.4,-3,-1,-9.2,0.1,-1.2,-2.4,-0.8,-4.4,3.5,-1.4,-1.2,-5.3,-0.5,-9.5,0.1,-9.5
1877,-1,1.6,-3.3,-3.4,-2.9,-3,-7.1,1,-3,-1.5,-2.5,-3.1,2.5,-2.3,-3.8,-5.9,1.6,-8.6,-1.8,-8.6
1878,-0.8,0.2,-2.4,-5.7,-3.3,-0.5,-8.3,-0.4,-2.2,-2.9,-3.3,-4.2,0.8,-0.5,-4,-6,-2.5,-7.8,-1.2,-8.3
1879,-0.6,1.8,-1.5,-3,-2.1,-2.9,-8.9,1.8,-1.8,-2,-2,-3.6,-0.3,-1.4,-3.1,-5.5,0.1,-6.2,-1.4,-8.9
1880,-1.3,1,-1.1,-5,-1.7,-1.6,-9,1.4,-1.2,-2.3,-3,-4,3.8,-0.7,-4.5,-6.8,-0.3,-8.1,-1.6,-9
1881,-1.3,1.7,-0.9,-2.9,-2.6,-0.4,-10.3,0.2,-1,-2.9,-4,-3.3,3.8,-4.7,-1.9,-4.5,0.6,-8.3,0.5,-10.3
1882,-0.5,0.5,-2.2,-2,-3.2,-0.1,-8.8,-0.5,-2.1,-2,-1.6,-3.4,1.4,-2.6,-3.5,-5.4,0.9,-8.6,0.3,-8.8
1883,-1.2,0.4,-2,-2.4,-1.6,-1.2,-8.7,-0.7,0,-3,-2.8,-2.5,-1,-2.1,-2.2,-5,0.4,-8.4,-0.2,-8.7
1884,-1.1,4.1,-3,-3.8,-2.6,-1.4,-8,2.4,-0.7,-3.6,-2.8,-4.8,1.8,0,-2.5,-5.5,-1.2,-8.6,-1.1,-8.6
1885,-1.9,0.5,-1,-4.3,-2.5,-2,-10.3,-0.6,-2.9,-1.6,-2.2,-3.8,1.5,-0.6,-7.1,-5,-0.8,-11.9,-0.9,-11.9
1886,-1.6,0.1,-2.1,-2.5,-1.7,-1.7,-8.9,0.4,-1.9,-4.6,-2.3,-2.7,3.7,-2.6,-4.8,-5.2,1.1,-8.3,-1.6,-8.9
