"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,2.6,-9.7,-1.3,0.3,0.1,1.3,-0.4,0.7,-2.2,NA,2.6,1.9,6.8,4.5,-2.4,-1.3,1.8,NA,2.2,-9.7
2016,2.9,-5.8,-2.9,0.6,1.5,0.6,2.5,2.3,-1.5,NA,2.5,1,4.6,4.9,-1.7,-1,1.3,NA,0.6,-5.8
2017,2,-5.9,-1.3,-0.9,1.2,-0.3,-0.6,-0.4,-2.4,NA,3,2.1,4.7,3.2,-1.6,-0.8,1.2,NA,2,-5.9
2018,2.6,-5.4,-1.2,0.3,1.9,1,1,-0.5,-1.4,NA,2.7,3.3,6.7,4.8,-1,0.1,0.3,NA,1,-5.4
2019,4,-5.2,-0.8,-0.2,0.7,1.7,0.5,0,-0.9,NA,2.5,1.4,7.6,5.6,-2,-1.3,2.3,NA,1.7,-5.2
2020,2.5,-4,2.6,0.9,0.1,1.8,1,0.9,-2.4,NA,2.8,1.1,8.8,5.5,-0.7,-1.8,-0.2,NA,0.6,-4
2021,1.6,-6.1,-1.3,1.6,1.5,1.8,1.4,0.3,-1.9,NA,3.5,0.1,6.1,5.3,-2,-0.8,2.6,NA,0.7,-6.1
2022,1.8,-7.1,-2.9,1.1,0.3,2.3,2.4,0.8,-0.5,NA,3.2,2,7.6,5,-0.4,-1.4,3,NA,1.6,-7.1
2023,1.7,-8.7,-3.2,-0.4,1.6,1.6,-1.2,-1.6,-0.9,NA,3,1,7.7,5.9,-1,-0.9,2.6,NA,1.9,-8.7
2024,3.4,-5.8,-0.9,0.2,0.1,3.1,-1.2,2,-1.7,NA,2.9,1.6,6.3,5.5,-0.4,0.4,2.3,NA,3.2,-5.8
2025,3.1,-7.7,-0.2,1.6,1.4,1.2,0.8,0,-0.6,NA,3.7,1.4,6.6,2.9,-1,0.3,2.4,NA,1.8,-7.7
2026,3.4,-3.7,-0.3,2.9,1.2,3.5,1.1,1.1,-1.2,NA,3.3,1.7,7.3,3.8,-3.1,-2.1,3.1,NA,1.5,-3.7
2027,5.1,-9.6,1.3,2.1,0.9,1.2,1.8,1.4,-0.8,NA,2.3,1.6,8.4,5.2,-1.4,-0.9,1.8,NA,3.7,-9.6
2028,2.8,-2.4,0.5,1,1.8,3.5,-0.3,-1.3,-1.6,NA,3.2,2.3,8.2,5.9,-1.7,0.6,1.8,NA,2.4,-2.4
2029,2.2,-9.7,-1,0,1.7,3.6,-1.3,1.4,-0.7,NA,2.7,3,6.7,6.3,-0.9,-0.9,1.7,NA,3.3,-9.7
2030,3.7,-7.2,0.2,1.5,0.7,3,1.4,0.6,0.2,NA,3.1,0.2,7.3,6.8,-0.5,-1,3.4,NA,3.6,-7.2
2031,2.2,-3.4,2.6,0.9,1.3,2.8,0.4,2,-1.4,NA,3.7,2.6,8.2,5.7,-0.2,-1.4,1.9,NA,3.1,-3.4
2032,3.2,-5,-0.4,1.4,0.8,2.6,0.4,-0.5,-0.7,NA,3.2,2,8.8,4.8,-1,0,0.4,NA,3.4,-5
2033,4.2,-1.3,1.7,2.8,1.9,2.4,-1.1,0.9,-1.3,NA,3.2,3,7.6,6.3,-0.2,-1.3,3.1,NA,3.7,-1.3
2034,3.6,-7,2.4,2.8,1.2,2.8,-1.3,1.2,-0.6,NA,2.9,0.5,8,6,-1.2,-0.3,0.8,NA,2.9,-7
2035,3.1,-3,2.3,2.1,1.8,0.9,1.5,-0.4,-1.1,NA,3,1.8,6.2,5,-1.8,-0.8,1.6,NA,3.5,-3
2036,3.1,-3.1,-0.7,1.6,1.5,1.3,1,2,-1,NA,3,0.8,7.9,6.3,-0.6,-0.5,2.1,NA,0.3,-3.1
2037,3.8,-5.2,0.4,1.4,2.6,3.1,0.8,1.2,-0.7,NA,3.7,-0.3,7.6,7.2,-0.2,0.1,2.6,NA,4,-5.2
2038,2.9,-8.4,0.2,1.9,2.7,2.4,1.1,0.4,-0.6,NA,4.3,0.6,7.5,6.1,-0.5,-0.3,2.6,NA,5,-8.4
2039,3.1,-3.5,1.8,2.4,1.9,1.9,1.2,2.1,0,NA,3.8,1.9,8.3,5.3,-0.5,-2.4,3.3,NA,3.3,-3.5
2040,1.8,-2.8,0.8,2.3,1,1.3,1.6,1.1,-0.4,NA,3.6,2.4,7,5.8,-0.4,-0.5,3,NA,3.2,-2.8
2041,4.6,-4.7,1.7,2.3,1.7,2.2,-1.3,-0.3,-0.2,NA,3.7,2.2,7.8,5.1,-1.4,-1.2,3.2,NA,4.9,-4.7
2042,2.7,-3,1.7,2.7,1.3,1.8,2.2,1.1,0.6,NA,3.7,2.6,7.7,5,-0.2,0.5,3.5,NA,3.9,-3
2043,3.3,-5.1,0.4,2,2.2,2.3,1.9,0.7,0.3,NA,3.6,1.8,7.5,4.9,-0.1,-0.1,3.5,NA,3.8,-5.1
2044,3.9,-2.7,0.6,3.2,0.4,2.3,1.3,1,-0.4,NA,3.1,3,7.7,6.9,-1.6,-0.2,1.8,NA,4.7,-2.7
2045,3.5,-2,-2.2,3.4,1.6,3.9,1.2,1.9,-1.4,NA,4.5,2.4,9.4,6.7,-0.1,-0.4,4,NA,3.9,-2.2
2046,3.3,-4.3,1.5,3.1,2.8,3,0.1,0.6,-0.1,NA,3.6,3.9,10.1,6,-0.1,-0.1,3,NA,2.4,-4.3
2047,3.6,-5.6,-0.5,1.8,3.1,1.7,1.6,1.5,0.3,NA,3.2,3.4,7.4,6.1,-0.2,0.6,3.7,NA,4.3,-5.6
2048,4.4,-9.6,-0.3,2.2,1.9,3.7,1.6,1.9,0.2,NA,4.5,3.8,7.5,7.3,-0.1,0.2,2.4,NA,5.7,-9.6
2049,3.6,-5.5,-0.8,2.8,1.9,4.1,3.6,1.6,0.3,NA,4.3,2.4,7.7,6.2,0.9,-0.8,2.7,NA,4.5,-5.5
2050,3.9,-4.5,1.8,4.9,2.2,2.5,1.1,2.4,-0.6,NA,3.8,2.7,7.3,6.3,0.6,-0.8,3.3,NA,6.5,-4.5
2051,3.9,-1.7,1,4.2,2.8,3.3,3.3,1.3,-0.5,NA,4,3.9,7,5.8,0.6,-0.6,4.1,NA,3.7,-1.7
2052,4.4,-1.3,0.3,3.9,2.4,2.4,2,0.7,-0.2,NA,4.4,4.5,6.5,7.8,-0.1,0.4,3.1,NA,6.6,-1.3
2053,5.8,-3.8,2.4,3.6,1.8,2.8,2.3,2.2,-1,NA,4.4,3.3,7.6,6.3,-0.1,0.4,2.7,NA,4.9,-3.8
2054,4.2,-1,1.4,2.9,2.8,3.5,2,1.1,-0.8,NA,4,3.2,9.2,6.8,1,-2.6,3.7,NA,5.1,-2.6
2055,5.6,-5,0.9,4,2.6,2.6,1.6,2.3,-0.5,NA,4.8,2.1,6.9,6.5,-0.2,-0.8,2.9,NA,5.4,-5
2056,4.4,-3.3,1.1,3.6,0.7,3.3,0.7,0.8,0.6,NA,3.1,3.9,8.4,5.9,-0.4,-0.6,3,NA,4.7,-3.3
2057,3.8,-5.8,-1.2,4.6,2.2,3.2,2.9,1.8,0.4,NA,3.8,5,8.6,7.6,0.6,1.1,1.5,NA,5.3,-5.8
2058,4.1,-1.3,1.5,5.2,2.6,4.1,2.9,4.6,-1.2,NA,2.6,5.7,8.9,7.2,0.4,0.6,3.6,NA,5.3,-1.3
2059,4.7,-1.2,2.3,4.2,2.8,1.2,2,0.1,0.3,NA,4.4,4.9,7.9,7,0.3,0.2,3,NA,5.4,-1.2
2060,4.1,-3.8,3.3,3.7,2.4,4.7,2.8,3.2,-0.2,NA,4.4,5.2,8.4,7.4,-0.2,1,3,NA,5.8,-3.8
2061,4.6,-5.1,2.3,3.8,2.7,2.9,1.6,1.8,-0.1,NA,4.1,3.9,6.6,6.9,-1.7,0.6,2.8,NA,3.9,-5.1
2062,5.4,-2.2,1,5.8,2.7,4.7,4.1,2.8,0.6,NA,4.3,4.6,7.4,7.5,-0.1,-0.6,2.9,NA,6.7,-2.2
2063,5.3,-5.2,0,3.4,2.2,4.6,4.6,3.9,1.5,NA,4.8,3.2,8.9,7.4,0.9,0.1,2.2,NA,5.4,-5.2
2064,6,-1.3,2.9,4.8,3.2,3.6,2.1,1,1.9,NA,4.7,4.8,7.9,7.8,0.6,0.8,4.2,NA,5.8,-1.3
