"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,0.2,0,0,0,0.3,0.2,NA,0,0.3,0.1,0,0,30.4,12.3,1.1,0,0.2,0.6,0,0
"historical",1851,0.4,0,0,0,0.2,3.2,0,0,0,0.3,0.1,0,19.1,9.2,1.2,0,0.2,1,0,0
"historical",1852,0.1,0,0,0,0.1,0.8,0,0,0.1,1.9,0.5,0,31.2,1,1.5,0,0,0,0,0
"historical",1853,0.5,0,0,0,0.5,1.4,0,0.1,0.9,0.3,0.1,0,31,0.3,1.2,0,0,7.5,0.1,0
"historical",1854,0.5,0,0,0,0.4,0.9,0,0,0,0,0,0,30,0.4,0.3,0,0.1,0,0.5,0
"historical",1855,0.3,0,0,0,0.6,1.9,0,0,0,0.4,0.1,0.1,31.2,0.3,0.3,0,0.1,8.2,0,0
"historical",1856,0.5,0,0,0,0,2.3,0,0,0.3,0,0,0.3,34,7.6,1,0,0.2,0.9,0,0
"historical",1857,0.2,0,0,0,0.4,1,0,0,3.8,0,1.4,0,31.1,11.2,0.5,0.7,0,0.8,0,0
"historical",1858,0.4,0,0,0,0.1,0.2,0,0,0.1,1.6,0.1,0,19.2,3.1,1.5,0,0,0.7,0,0
"historical",1859,0.1,0,0,0,0.3,1.8,0,0,0.7,0.5,0,0,30.9,15.5,0.3,0,0.3,3.1,0.1,0
"historical",1860,0.4,0,0,0,0.1,1.2,0,0,0,1.1,0.1,0.2,33,1.8,0.8,0,0,1.8,0.7,0
"historical",1861,0.3,0,0,0,0.2,0.9,0,0,1.2,0.5,0.1,0.1,31.4,4.3,0.5,0,0.1,6.6,0,0
"historical",1862,0.1,0,0,0,0.3,0.5,0,0,0.6,0.2,0.1,0,33.4,0.1,0.4,0,0,6,0,0
"historical",1863,0.6,0,0,0,0,0.7,0,0,0.1,0.1,0.2,0.1,28.8,8.2,4,0,0,6.5,0.1,0
"historical",1864,0.4,0,0.1,0,0,0.9,0,0,0.7,0,1.7,0,30.7,0,0.3,0.1,0.1,1.8,0,0
"historical",1865,0.3,0,0,0,0.4,1.5,0,0.1,0.2,2.6,0.6,0,29.2,7.3,0.1,0,0.2,0.3,0.1,0
"historical",1866,0.5,0,0,0,1.4,2.1,0,0.2,0.6,0.4,0.1,0.1,31.1,3.4,1.9,0.1,0,3.6,0,0
