"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,682.7,468.6,1014.6,748.8,743.4,706.8,602.7,966.8,570.2,658.1,939.2,931,1253.5,928.2,878.4,617.5,868.1,883.5,663.5,468.6
2016,673.2,869.4,949,782.7,736.6,805.7,638.4,897.2,619.7,770.4,1218.9,894.7,1362.1,771.9,721.6,683.9,1080.5,838.6,626.1,619.7
2017,649,718.7,941.8,815,771,877.8,626.1,971.1,565.2,736.5,1236.7,828.4,1520.6,834.5,956.5,608.8,1108.8,907.6,657.7,565.2
2018,708.2,696.4,698.9,720.6,756.3,917.2,579.7,1149.6,608,736.6,1119.6,901.3,1268.2,929.4,812.5,738.6,975.4,910.9,666.3,579.7
2019,702,818,1008.4,797.8,685.1,863.8,680.7,956.1,570.3,859.2,1130.9,886.4,1236.4,877.1,880,676.1,1033.5,925.4,663.1,570.3
2020,654.2,639.7,801.5,827.6,842.6,832.3,603.8,1093.2,593.3,734.9,1124.9,900.9,1467.9,903.2,844.6,710.9,1038.1,729.7,736.5,593.3
2021,644.3,751.4,701.5,869,944.1,883.8,650,980.2,546.6,841.3,1124,864,1399.3,859.3,980.1,738.1,1112,960.6,620.7,546.6
2022,697.3,892.8,980.5,785.6,768.6,727.5,676.6,1050.1,728.6,910.7,1046.8,760,1378.8,968.5,764.5,726.9,987.2,842.5,631.6,631.6
2023,665.8,606.7,964.2,794.4,720.7,842.4,709.1,1059.2,521.7,811.1,991.2,881.1,1206.4,999.7,826.7,680.5,981,934,747.8,521.7
2024,750.4,905.4,847.5,838.2,889.8,965.6,654.9,1031.4,598.8,718.2,1086.6,906,1299,816.8,609.7,691.8,976.8,655,762.3,598.8
2025,694.2,733.9,840.3,823.8,858.9,727.8,673.2,1053.4,563,763.5,1103.4,881.6,1297.9,848.4,936.6,704.9,1013.1,855.6,687.4,563
2026,626.1,928.3,907.5,873,757.9,915.4,552.1,910.2,615.2,688.4,1270.2,1000,1339.7,895.1,663.7,689.8,1126.2,843,769.6,552.1
2027,737.1,829.5,700,781.5,856,827.5,682.5,915.3,643.9,842,1245.1,890,1521.3,884,816.5,785.9,1161.2,857.2,626.6,626.6
