"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,59.7,54.9,88.1,57.6,61.2,21.9,94,35.8,73.9,39.4,32.6,107.5,49.3,57.5,61.6,36.9,83.7,43.5,21.9
"historical",1851,55.8,62,40.3,33.6,82.9,53.3,58.9,49.2,25.7,54.7,52,98,61,68.6,31.9,70,50.5,54,25.7
"historical",1852,92.3,95.5,71.5,60.5,38.2,81.4,83.8,59.3,45.3,40.3,56.1,86.9,49,45.2,50.2,64.9,88.8,28.6,28.6
"historical",1853,82.4,42.2,106.3,29,29.2,58.9,74.4,56.3,48.1,54.8,73.1,64.7,58.4,93.7,59.8,64.4,84,47.1,29
"historical",1854,72,92.8,93.7,63.8,48.1,50.8,96.8,41.5,51.2,29.8,58.5,75,60.5,17.3,28.2,103.5,62.4,25.9,17.3
"historical",1855,31.7,91.5,57.5,17.5,71.9,51.3,113.9,55,59.8,44.2,58.6,78.9,69.6,58.2,65.8,64.1,81,44.5,17.5
"historical",1856,63.4,59.5,105.2,54.1,56.4,48,86,51.5,39.8,68.3,45.4,77.1,33.9,66.2,68.7,78.8,75.1,28,28
"historical",1857,69,88.3,85.7,45.4,41.3,25.1,101.2,47.5,43.5,33.8,71,93.1,43.6,70.7,59.1,52.2,85.2,30.9,25.1
"historical",1858,62.3,81.2,86.7,52,58.5,33,104.1,60.2,63,29.9,39,66.1,48.5,47.2,68,56.2,61,14.6,14.6
"historical",1859,57.2,84.7,86.9,34.8,31.1,47.7,93.6,40.7,64.6,66,54.9,66.6,59.1,70.6,46.8,87.6,59.1,49.7,31.1
"historical",1860,74.8,59.8,86.8,61.5,50.7,52.2,91.6,36.4,65.5,73.5,40.5,76.6,33.4,43.8,54.9,89.8,56,24.2,24.2
"historical",1861,35.2,103.1,62.3,49.5,34.1,28.6,119.2,60,63.3,52.6,53.3,80.8,49.6,41.4,47.1,67.2,51.6,23.7,23.7
"historical",1862,66.6,57.7,38.3,45.7,35.9,37.5,111,58.5,56.4,38.9,61.2,120.6,60.6,81.8,39,55.3,71.7,21.1,21.1
"historical",1863,48.9,86.5,63.1,59.6,45.5,50.4,98.2,41.9,39.9,63.8,33.4,69.2,16.6,41.2,50.6,50.4,63.8,69.8,16.6
"historical",1864,75.1,104.4,81.8,56.2,51.8,38.3,117.2,66.3,88.9,56.9,53.1,75.5,65.1,51.3,35.8,83.3,102.6,51.2,35.8
"historical",1865,59.4,77.5,62.1,71.5,29.5,91.3,77.2,30.9,41.2,54.6,35.4,103.6,52.1,37.6,81.8,106.9,50.3,28.7,28.7
"historical",1866,61.8,111.7,108.3,38.5,62.3,18.1,44.8,47.5,40.1,49.2,44.9,58.5,68.4,41,57.4,72.5,56,42.4,18.1
"historical",1867,58,50,103.3,59.2,34.9,61.2,79.8,29.3,41.9,49.4,37.7,66.9,52.3,58.8,22.6,84.4,102.3,45.1,22.6
"historical",1868,79.8,82.9,93,53,20,54.3,96.4,59.1,38.4,49.2,42.6,82.9,64.1,50.1,41.4,65.6,89.2,32.8,20
"historical",1869,43.1,43.4,112.5,53.1,53.5,42.2,73.2,49.8,56.8,67.4,40.8,84.7,55.8,92.9,63,66.6,84.4,41.2,40.8
"historical",1870,50.4,82.6,77.5,45.6,53.2,34.2,124.3,23.6,31,38.2,77.9,81.1,49.7,51,62.8,44,96,48.9,23.6
"historical",1871,64.2,56.9,84.8,49.2,74.8,48.2,132.5,49.7,59.4,54.9,49.9,68.4,36.1,38.5,50.6,90.6,72.6,36.9,36.1
"historical",1872,46.2,87.5,99.9,57.8,68.4,49.2,98.8,48.5,71.6,66.8,59.6,106.6,33.1,46.2,72.4,66.3,94.4,35,33.1
"historical",1873,52.5,51.2,92.1,22.7,28.5,51.5,95.8,48.2,61.9,57.8,58.7,81.5,67.8,91.3,45.2,70.9,95,43.1,22.7
"historical",1874,77.2,87.5,94.9,39.6,47.5,44.7,99.8,61,64.6,48.6,41.4,70.4,44.9,61,20.8,114.4,45.2,36,20.8
"historical",1875,54.9,67.2,44.8,50.6,60,42,67.1,68.6,55.1,39.2,64.3,56.6,41.3,59.4,29.2,49.5,28.8,49.4,28.8
"historical",1876,47.4,75.4,96.9,62,17.8,78.4,118.9,48,58.5,55.5,71.6,52.3,38.1,58.4,66.4,96.7,65.6,13.8,13.8
"historical",1877,64.2,93.4,117.9,38.6,61.6,50.5,77.7,51,70.8,66,47.7,109.2,65.9,45.1,51.4,70.4,110.1,35.1,35.1
"historical",1878,56,40.7,132.4,15.1,61.8,22.6,94.6,63.2,55.6,29.6,71.4,99,72.4,70,49.2,59.8,84,55.9,15.1
"historical",1879,36.8,70.2,94.5,69.1,22.4,59.7,45.8,51,36.7,34.2,46.6,109.4,29.8,38.8,50.1,97,81.2,52.1,22.4
"historical",1880,79.3,78.9,90.6,59.1,61.9,43.6,122.2,31.9,41.1,34.4,61.4,111.9,31.6,59.6,64.5,81.1,59.2,52.9,31.6
"historical",1881,34,97.9,72.6,51.1,30.6,66,59.2,57.1,63,28.6,37,102.5,57.7,50.3,59.6,113.2,36,20.6,20.6
"historical",1882,5.2,43.5,77.7,63.5,54.9,56.6,147.6,42.2,71.8,42.9,55.3,101.2,45.4,65.9,49.5,99.5,83,38.2,5.2
"historical",1883,56.5,70.5,114.2,37.4,38.6,45.6,59.5,49.8,18.7,64.3,34.7,76,28.9,62.3,64.7,90.2,77.4,22.1,18.7
"historical",1884,60.9,70.5,84.3,47.6,49.7,41.8,82.1,39.1,42.2,51.7,34.4,80.6,41.6,43.5,47.4,75.2,56.4,39.5,34.4
"historical",1885,109.5,64.5,69.6,45.6,69.4,29.1,78.4,28.9,32.5,40.6,47.6,68.6,28.9,43.3,38.9,68.5,127.9,45.1,28.9
"historical",1886,70.8,53.9,120.3,57.3,52.5,19.6,63.1,55.2,46.5,36.1,43.8,122.1,76.1,68.6,35.6,89.4,69.1,48,19.6
"historical",1887,27.7,114.2,88.1,63.7,29.2,58.6,73.3,49.6,70.3,57.6,30.3,101.2,54,54.3,62.4,66.9,65.5,41,27.7
"historical",1888,57.1,46.8,99.5,81.9,61.9,42.8,93,51.3,48.1,48.6,45.4,97.4,65.8,60,58.9,61.3,90.5,32.1,32.1
"historical",1889,67.8,94.4,112.8,53.7,36.8,77.4,54.4,43.9,24.9,43.1,57.8,91.8,45.6,34,40.2,92,52.9,48.2,24.9
"historical",1890,58.2,83.7,107.8,61.4,37.6,58.9,67.6,42.8,62.1,46.2,33.1,71.7,35.6,59.2,47.6,60.5,73.7,45.2,33.1
"historical",1891,64.9,65.4,102.4,51.6,31.9,48.3,86.4,47.7,55,73.4,29.5,102.3,56.9,52.4,58.9,96,53.8,28.5,28.5
"historical",1892,63.2,31.6,107.5,40.4,35.2,86.2,38.6,35.1,50.4,52.7,66,61.8,80.5,82.1,51.6,48,34.4,45.6,31.6
"historical",1893,42.6,43,46.6,44,49.7,59.7,91.2,62.3,15.4,28.4,68.1,137.5,35.3,66.9,63.5,44.8,66.5,43.7,15.4
"historical",1894,42.7,59.4,89.7,26.6,56,66.4,92.4,50.1,88.6,85.4,52.4,55.5,65.1,55.7,45.4,58.1,58.4,32.5,26.6
"historical",1895,80.5,46.4,93.4,76.1,33.4,52.2,108.2,71.7,41.5,53.8,47.6,117,72.7,58.1,49.2,80.5,65.6,25.7,25.7
"historical",1896,69.3,53.6,105.6,44.1,79.3,61.1,87.9,62.2,70.5,73,51,96,26.3,29.5,27,69.5,70.5,44.6,26.3
"historical",1897,75.8,69.7,99.1,67.5,47.2,43.3,50.3,73,74,63.9,64.3,66,68.5,55.9,35.7,77.7,115.7,49,35.7
"historical",1898,70,62.6,83.7,42,40.3,45.5,54.1,53.8,51.2,50.1,48.7,94.6,69.4,39.3,26.8,86.8,78.4,44.2,26.8
"historical",1899,67.8,91.2,83,64.2,50.9,55.1,59.6,39.2,8.5,47.7,41.4,100.8,32.5,51.2,84.1,81.6,81.7,34.4,8.5
"historical",1900,77.1,82,93.9,55.9,21.3,63.7,126.8,55.1,47.7,50.1,29.8,85.6,44.3,63.6,66.5,89.6,20.7,47.7,20.7
"historical",1901,60.1,88.7,80.1,54.2,59,52.6,126.2,57,56.2,42.9,62.6,92.3,65.1,54.3,55.6,108.5,83.2,34.7,34.7
"historical",1902,48.7,81.5,110.7,44.7,22.9,61.3,98.6,43.5,54.2,30.5,53.6,59.8,35.6,57.1,45.3,114,103,71.1,22.9
"historical",1903,60.3,69.7,84.2,59.8,48.4,35.1,105.2,54.2,67.8,60.2,59.6,106.9,48.5,36.8,56.3,70.7,27.1,50.7,27.1
"historical",1904,57.7,56.5,35.5,55.7,58.7,69.1,51.6,42.6,72.7,47.3,51.3,105.8,31.8,51,68.1,53.4,81.2,51.1,31.8
"historical",1905,41.2,95,55.7,63.2,45.9,51.9,96.7,43.8,43,46.5,8.6,94.2,59,70.7,48.5,49.8,95.8,30.7,8.6
"historical",1906,44.8,69.5,103.2,44.4,90.5,61.2,46.2,71.4,65.2,78.7,37.3,109.9,35.4,48.8,35.3,39.5,78.3,40.9,35.3
"historical",1907,77.4,69,62.3,77.1,56,40.5,76.4,48.4,49.8,96.6,42.4,50.9,71.2,50,39.5,116.2,61.8,45.3,39.5
"historical",1908,37.8,39,129.4,23.6,52.9,47.5,102.6,76.3,56.8,57.3,9.3,79.4,43.1,38,37.9,67.8,58.4,26.5,9.3
"historical",1909,69.5,64.5,120,69,51.6,25.3,62.7,61.2,54.2,60,34.4,108.6,78.4,48.8,47.6,73.3,65.1,41.2,25.3
"historical",1910,21.8,89.7,121.5,56.6,67.7,37.7,62.5,38.7,50.8,30.6,46.4,111.4,69.6,57.9,44.1,83.3,72.8,42.8,21.8
"historical",1911,87.1,10.1,86.2,40,68,45.1,101.2,65.6,51.7,71.1,39.8,97.5,18.6,32.8,51.8,69.5,88.9,51.3,10.1
"historical",1912,50.2,66.4,125,50.1,58.3,52.4,93.1,47.6,35.9,34.8,56.8,77.7,46.8,58.3,51.4,99.5,41.5,82.1,34.8
"historical",1913,47.3,66.1,75.5,42.2,34.7,35.4,90.2,39.6,53.3,64.2,47.6,83.9,50.9,52.3,56,87.7,65.5,26.5,26.5
"historical",1914,61.8,124.4,78.2,45.2,55.7,34,77.3,53.1,40.7,43.4,75.8,80.9,52.7,50.2,32.2,62.4,92.1,58.5,32.2
"historical",1915,66,96.5,82.1,48.4,46.5,60.9,121.8,40.6,54.3,53.4,91.4,64.4,32.9,51.1,61.4,19.6,44,42.3,19.6
"historical",1916,30.3,90.6,95.7,54.6,29.7,47,72.6,49.8,57.8,54.2,43.1,82.4,71.8,74.5,65.2,78.9,97.8,55.9,29.7
"historical",1917,30.3,77.8,81.2,51.3,29.8,51.5,79.8,55.1,46.4,59.7,40.1,103.8,68.2,61.7,54.5,63.2,77.4,66.7,29.8
"historical",1918,45.3,46,124.1,61.8,13.2,32.8,105.8,64.6,73.1,42.7,20.9,135.9,38.8,60.4,46.8,77.8,39.1,42.6,13.2
"historical",1919,35.1,79.8,72.6,53.3,24.2,21.5,32.4,56.3,28.5,29.8,38.3,115,54.1,95.1,71.3,74.7,79.5,47.8,21.5
"historical",1920,68,75.8,128.3,66.6,61.5,41.3,76.5,47,83.4,36.4,53,61.6,67,70.7,62.8,82.8,76.4,42.8,36.4
"historical",1921,58.8,61.6,66.6,54.9,69.7,58.4,34.5,65.2,35,36.2,61.6,107.2,41.1,62.4,35.2,90.5,66.1,17,17
"historical",1922,54.4,84.5,85.2,59.9,44.7,69.8,68.5,54.7,50.2,53.6,45.3,112.4,65.3,58.4,59.7,83.2,75.2,32,32
"historical",1923,22.8,54.8,78.4,46.6,48.1,63.1,102.3,60.6,35.4,45.7,44.4,102.1,49.2,72.3,51.2,71.8,63.4,57.8,22.8
"historical",1924,51.2,88.9,82.7,47.9,31.7,28.9,74.2,24,66.1,64.5,40.3,72.6,63.5,59.2,33.1,76.3,64.2,49.3,24
"historical",1925,66.7,73.5,86.8,52.6,53.5,45.6,72.6,61.7,43.7,65.2,76.3,104.9,69.9,53.9,70.6,79.2,40.6,60.1,40.6
"historical",1926,62.1,53.5,95.7,29.8,72.5,31.7,115.2,39.3,69.8,55.3,39.7,103.7,60.7,38,62.1,101.5,97.6,19,19
"historical",1927,29.4,108.9,85.5,55.6,47.8,59.9,87.7,61.7,59.2,44.3,46.5,95.4,45.2,37.9,75.6,45,101.4,56.1,29.4
"historical",1928,46,81.1,135.4,64.3,20.3,41.4,53.4,42.3,57,30.9,37,96.1,36.1,67.7,55.4,74.4,95.5,60,20.3
"historical",1929,54.5,76.3,94.3,54.3,47,63.1,102.2,40.6,56.8,42.1,34.3,86.4,66.7,30.6,47.5,86.4,45.5,18.2,18.2
"historical",1930,65.3,57.3,93.8,51.8,25.8,27.9,57.8,29.6,46.1,40.6,62,117.8,67.7,90.9,29.2,52.2,100.4,31.7,25.8
"historical",1931,47.7,109.4,116.5,64.8,32,34.6,38,54.6,34.2,64.3,47,110.6,59.8,43.7,45.3,78.4,98.1,41.6,32
"historical",1932,68.9,115.9,59,60.7,57.8,48.5,81.2,72,38.9,52.7,51.9,85.9,47.9,54.7,28.4,60,80.4,50.4,28.4
"historical",1933,49.6,108.7,103.6,57.3,42.4,30.1,110.8,59,39.5,52.5,83.5,44.1,59,74.3,39.9,57.2,104.9,45.5,30.1
"historical",1934,46.6,55.5,44.2,54.3,15.8,49.8,105.2,61.1,26,35.6,47.5,111.7,54.2,72.5,5.8,68,82,43.8,5.8
"historical",1935,69,78.9,53.6,46.2,31.2,29.7,89.2,38,55.4,42.8,60.1,94.6,40,55.2,54.6,58.8,93.7,27.5,27.5
"historical",1936,38.6,96,101.9,58.4,50.1,63,108.1,46,62.3,57.2,34.8,56.2,56.2,47.8,71.4,62.2,92.3,51.8,34.8
"historical",1937,38.2,102.7,70.9,59.6,68.9,39.4,84.3,56.6,45.6,46.2,50.2,94.3,46.5,84,53.6,36.8,50.4,22.7,22.7
"historical",1938,49.4,78.4,89.5,60.9,34.6,54.3,60.1,70.5,38.4,52.7,67.4,114.5,40.3,72.3,40.5,66,52.7,42.4,34.6
"historical",1939,55.9,73.7,64.7,52.5,74.8,59.5,85.2,64.2,32.7,54,67.6,116.2,66.3,66.3,43.3,85.2,86.5,28.4,28.4
"historical",1940,64.7,58.2,84.7,35.9,38.1,43,57.3,62.6,38.8,53,53.5,90.4,36.6,61.7,52.3,78.9,116.4,62.5,35.9
"historical",1941,16.8,74.3,41.5,58.9,49,52.7,34.4,71.7,61.3,66.8,45,71.6,57.6,64.5,51.9,71.7,111.1,61.8,16.8
"historical",1942,58.7,55.6,110.6,48.9,63.7,48.3,53.3,59.2,60.6,50.3,33.8,101.9,27.3,58.9,53.1,24.3,92.4,22.9,22.9
"historical",1943,71.2,76.6,79.8,38.9,47,28.1,112.9,32,86.3,38.3,46.3,111.5,56.3,90.6,43.5,67.8,47.9,32.8,28.1
"historical",1944,48.2,34.9,56,41.2,52.7,53.7,46.2,68.8,49.7,39.6,51,86,48.9,101.8,31.2,70.8,92,30.3,30.3
"historical",1945,50.7,79.2,109.6,44.3,37.1,40.9,114.6,41.3,70.7,25.7,71.9,57.3,53.6,77.1,39,78.4,102.7,47.3,25.7
"historical",1946,92.1,63.6,99.1,72.9,71.9,52.5,56.1,39.1,38.3,38.5,22,83.7,77.1,53.7,60.3,60.9,55.4,37.1,22
