"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,75,26.7,74.8,70.5,75.7,73.9,68.2,78.4,74.5,NA,72.6,74.5,88.2,76.3,73.1,74.1,72.6,NA,73.5,26.7
2016,75.1,31.9,73.5,69.5,74.6,74.7,71.7,69.2,75.6,NA,80.6,76.9,85.9,76,73.1,74,76.2,NA,73.3,31.9
2017,74.6,28.2,73.9,70.1,72.5,73.5,72.3,73.9,76.2,NA,77.9,76.8,87.1,78.3,73.5,75,76,NA,73.3,28.2
2018,77.5,27.4,71.2,68,71.3,74.9,71.7,74.6,73.4,NA,80.2,68.3,87.8,76.7,73.8,70.6,74.8,NA,73.4,27.4
2019,77.4,36,71.2,70.9,72,72.8,71.9,73.9,75.2,NA,79.8,77,88.3,79.6,71.3,74.8,76.6,NA,71.4,36
2020,73.6,41.2,77.5,70,74.6,73.3,72.5,75.1,75.2,NA,80.2,74.2,87,79.2,73.5,72.6,78.2,NA,73.6,41.2
2021,76.8,37.9,73,70.4,74.8,71.3,72,77.5,74.2,NA,78,74.1,88.4,79.6,71.1,72.6,77.6,NA,75.7,37.9
2022,76.6,34.8,71,70.8,73.3,73.3,70.2,74.7,77.1,NA,78.3,70.1,87,80.3,70.6,74.4,74.7,NA,72.8,34.8
2023,78.1,25.8,69.8,73.8,74.1,75.5,70.6,79.1,73.7,NA,79,75,88.1,80.2,72.8,72.7,75.3,NA,72.4,25.8
2024,80.6,23.5,74.9,68.8,74.8,72.8,72.8,72.3,73.1,NA,77.7,73.5,87.9,80.4,71.8,73.9,76.5,NA,74,23.5
2025,76.9,27.9,75,72.5,74.5,75.2,71.6,76.6,74.9,NA,80.5,73.6,88.6,80.9,73.8,74,77.9,NA,74.5,27.9
2026,77.1,37.2,72.7,74.9,73.7,74,68.9,78.7,76.6,NA,79.3,70.3,89.7,80.9,69,74.7,76.5,NA,77.3,37.2
2027,71.5,32.8,72.9,74.2,70.9,74,72.9,75.7,77,NA,74.4,73.2,89.4,81.2,73.8,74.5,73.8,NA,75.7,32.8
2028,77.5,38.6,72.5,72.8,73.4,72.6,70.9,77,75.9,NA,80.1,72,86.5,78.1,73.6,74.8,74.1,NA,71.9,38.6
2029,79.3,32.1,75.5,71.4,73.2,73.4,70.3,78.9,75.5,NA,80.1,74.9,87.1,78.7,71,73.5,76.4,NA,75.3,32.1
2030,75.2,22.8,74.2,72.5,73.8,74,71.1,76.7,74.7,NA,79.2,71.2,87.7,79.3,72.8,70.4,75.5,NA,73.2,22.8
2031,75.7,39.3,72.8,73.8,73.3,74.6,71.4,76.4,73.8,NA,80.1,71.4,88.1,80,71.6,74.3,78.4,NA,75.3,39.3
2032,76.9,22.8,76.4,73.4,73.9,75.2,70.1,78.5,75.9,NA,78.9,74,89.8,78.5,75.2,74,75.8,NA,77.6,22.8
2033,78.1,40.7,75.4,72.3,72.6,73.5,71.5,76.1,75.8,NA,78.2,75.7,88.9,81.2,76.7,73.2,74.4,NA,75.2,40.7
2034,75.3,25.7,72.3,69.4,73.8,73.9,71.5,75.6,74.7,NA,79.1,69.9,86.3,80.3,70.8,73.8,76.9,NA,76.1,25.7
2035,78.2,30.5,76.2,69,73.5,74,68.9,77.3,76.2,NA,78.7,75,88.9,78.5,73.7,72.4,74.9,NA,75.3,30.5
2036,76.6,32.1,76.2,68.7,74.6,73.2,69,78.2,75.5,NA,78.8,77.2,87.8,77,75,76.1,75.1,NA,76.8,32.1
2037,75.6,33,71.3,73.2,73.2,74.5,72,78.3,73.8,NA,77.6,75.6,88.8,79.8,72.7,73.4,76.4,NA,77.9,33
2038,77.2,26.5,81.9,72.7,72.5,73.5,71.8,76.5,72.9,NA,79.9,73.4,87.1,82.1,69.7,75.3,78.4,NA,73.1,26.5
2039,76.6,32.9,69.8,74.2,74.1,74.4,70.8,72.5,76.3,NA,79,75.7,86,79.8,75,73.1,76.4,NA,76.4,32.9
2040,78.7,23.3,75.6,73.3,74,74.9,70.4,79,72.4,NA,78.8,76.2,86.9,79.9,74.7,75.3,77.9,NA,76.6,23.3
2041,76.4,40.6,77.8,73.2,73.5,73.5,70.2,77,76.2,NA,80.7,77.2,86.6,81.2,74.5,69.4,77.9,NA,74.4,40.6
2042,77.5,37.2,71.9,73.8,75,72.2,72.7,79.3,75.1,NA,79.7,78.5,90.4,80.1,73.6,75.2,77.9,NA,76.5,37.2
2043,78.5,40.7,75.6,73.8,75.1,76.1,69.6,79.1,75.1,NA,76.6,75.3,91.1,81.8,75.4,74.2,77.1,NA,77.7,40.7
2044,74.7,28.3,81,69.5,74.7,73.9,70.2,78.7,75.8,NA,80,77,89.3,80,74.6,74.6,72.2,NA,75.6,28.3
2045,75.3,40.2,75.5,74.6,72.9,74.2,74.4,78.8,73.5,NA,79,76.8,88.9,80.9,75.3,70.9,76,NA,75.3,40.2
2046,77.3,33.7,75.1,73.6,72.8,73.8,72.4,77.5,77.5,NA,77,74.7,88.6,81.3,73.9,74.3,76.2,NA,78.1,33.7
2047,78.6,30.3,76.8,75.4,74.9,76,71.6,78.1,76.4,NA,78.8,75.1,88.3,78,75.5,74.4,79.6,NA,77.3,30.3
2048,77.2,35.5,75.2,74.2,75.3,75,71.1,78.2,76.5,NA,81.4,73.5,88.8,78.2,71.9,75.5,77.8,NA,72.6,35.5
2049,78.4,34.1,78.1,71.6,75.7,74.6,72.8,78.9,75.4,NA,77.3,76.7,89.7,80.7,70.7,77,78.3,NA,77.8,34.1
2050,78.3,30,74.6,76,74,74.3,72.1,73.3,74.7,NA,79.8,74.7,89.1,80,74,75.7,77.3,NA,76.5,30
2051,77.6,30.2,71.4,70.7,75.2,74.9,70.9,79.4,75.5,NA,76.5,77,88.9,79.7,75.7,75.9,77.9,NA,76.3,30.2
2052,79.1,33.7,77.4,72.2,73.3,75.6,73.1,75.7,74.9,NA,80.8,72.9,87.1,76.4,72.6,73.3,76.1,NA,76.8,33.7
2053,76.9,34.6,79.6,74.7,73.8,74.4,73.3,79,76.3,NA,77.8,75,87.9,80.4,74.3,77.1,78.5,NA,78.1,34.6
2054,76.2,42.1,76.2,75.2,74.7,74.9,71.2,80.6,73.5,NA,80.7,74.7,86.4,79.3,73.8,75.6,78.1,NA,76.1,42.1
2055,78.9,35.8,77.1,73.2,70.7,74.4,72.1,77.4,75.3,NA,79.6,76.6,89.1,79.4,76,77.4,75.9,NA,78.9,35.8
2056,77.4,33,70.9,74.7,72.7,76.4,71.9,77.3,75,NA,76.7,79.7,87.1,80.1,71.4,72.9,78.5,NA,78.8,33
2057,76.9,35.4,76.2,74.9,74.8,74.1,72.9,76,76.9,NA,81.6,75,89.2,79,74.2,76,77.7,NA,77.3,35.4
2058,78,41.2,72.2,76,71.7,74.2,73.2,76.6,76,NA,79.9,76.9,86.6,79.9,73.5,75.9,75.5,NA,77.9,41.2
2059,77.6,34.7,72.6,77.5,76.1,75.1,73,76.6,75.6,NA,80.9,77.7,88.7,81.2,76,73.6,80.1,NA,78.2,34.7
2060,75,37.4,74.9,71.9,75.6,75.3,73.2,75,75.6,NA,78.6,73.8,87.4,80.6,74.4,74.5,77.7,NA,79.6,37.4
2061,75,41.4,74.1,74.4,75.3,74.1,73.2,77.5,76.9,NA,77.7,77.2,89,79.8,71.2,74.8,76.9,NA,76.1,41.4
2062,77.6,34.3,82,75.4,76.5,76.1,73,78.6,74.9,NA,75.8,78,88.7,79.7,75.3,76.7,77.7,NA,77.6,34.3
2063,76.2,22.5,75.7,74.6,75.9,74.6,72.5,75.2,76.2,NA,80.4,79.2,90.8,81,73.5,75,78.2,NA,77.5,22.5
2064,78.3,35.6,72.2,74.1,74.8,74.3,71.4,74.6,75,NA,80.4,77.1,89.6,80.5,75,75.2,79.1,NA,79.9,35.6
2065,77.8,33.6,80.6,74.1,73.4,74.5,72.1,75.9,76.3,NA,81.3,76.8,87.8,81.7,76.8,74.9,79.1,NA,78.6,33.6
2066,77.6,31.1,71.8,76.6,73.2,75.8,73.9,76.5,75.2,NA,78.4,77.3,88.3,81.9,76.7,75.5,78.4,NA,77.9,31.1
2067,79.4,30.3,78.6,76.5,74.9,75.4,73.3,75.8,77.8,NA,75.5,75.6,91.1,81,75.3,77,80.5,NA,78,30.3
