"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,-15.5,-36.6,-20.6,-27.2,-22,-19.2,NA,-12.9,-22.1,-34.2,-23,-27.7,-13.8,-24.2,-26.1,-24,-16.2,-28,-31,-36.6
1851,-15.9,-39,-27,-27.3,-20.3,-17.3,-23.4,-17.8,-19,-27.9,-23.9,-32.7,-16.3,-16.7,-20.7,-22.4,-21.8,-21,-26.2,-39
1852,-14.8,-41.4,-23,-30.3,-17.7,-17,-22.3,-17.8,-27.7,-22.5,-19.7,-28.4,-13.8,-20.2,-24.4,-22.5,-13.9,-21.4,-21.1,-41.4
1853,-17,-37.1,-19,-25.3,-18.5,-14.2,-22.6,-15.4,-22.7,-20.6,-16.4,-27.3,-11.3,-19.5,-23.5,-25.9,-16.1,-20.4,-23.4,-37.1
1854,-18.6,-35.4,-21.7,-23.5,-18.8,-19.6,-23.6,-17.9,-23.4,-23,-26.9,-25.4,-5.8,-25.1,-24.9,-26.7,-14.9,-27.4,-29,-35.4
1855,-15.1,-30.8,-24.5,-23.5,-20.9,-18.8,-32.8,-17,-20,-22.8,-18.4,-30.8,-7.7,-16.1,-19,-25.1,-20.9,-22.8,-22.3,-32.8
1856,-14.2,-36,-25.2,-24.5,-20,-19.8,-22.3,-18,-19.5,-30.2,-26.8,-33.4,-7.7,-22.7,-24,-22.2,-12.5,-22.6,-24.6,-36
1857,-12.7,-39.4,-23.2,-28.2,-24.6,-17.8,-25.5,-17,-20.6,-20.3,-23.4,-27.1,-8.7,-21.5,-25.3,-21.5,-16.6,-20.8,-27.7,-39.4
1858,-13.7,-42.7,-24.2,-21.7,-17.8,-18.3,-21.9,-21.1,-23.1,-20.2,-24.4,-27.8,-10.3,-22.8,-20.7,-25.9,-12.8,-19.1,-31,-42.7
1859,-13.7,-33.7,-25,-21.1,-20.2,-24.2,-24.2,-16.8,-25.2,-25.4,-25.9,-28,-10.4,-16.8,-24,-22.9,-12.4,-22.3,-27.2,-33.7
1860,-18.4,-27.7,-20.9,-23.3,-22.9,-14.6,-27.8,-20.6,-24.4,-35,-25.5,-27.6,-6,-14.3,-21.4,-27.6,-17.8,-17.8,-23,-35
1861,-16.2,-35.5,-23.2,-23.5,-18.6,-21.4,-18.7,-27.4,-17.1,-27,-18.9,-33.3,-8,-18.3,-24.4,-26.4,-14,-22.9,-31,-35.5
1862,-15.3,-36,-25.3,-23.7,-19.3,-19.7,-20.5,-17.2,-22.8,-22.5,-19.7,-28.1,-11.5,-19.3,-15.8,-24.7,-22.1,-22.2,-27.7,-36
1863,-17.1,-46,-28.5,-26.7,-21.1,-19.3,-20.8,-15.3,-24.8,-22.2,-18.5,-31.4,-9.5,-17.9,-24.7,-24.5,-19.9,-16.1,-31.3,-46
1864,-14.9,-37.2,-19.2,-23.8,-17.5,-14.7,-22.5,-13.3,-14.6,-24.3,-23.2,-34.1,-9.8,-20.2,-24.2,-27.9,-18.3,-21.6,-30,-37.2
1865,-16,-41,-26.6,-25,-14.6,-17.9,-20.2,-22.6,-29.9,-25.5,-22.9,-29.1,-13.2,-18.4,-25.8,-24.3,-19.3,-19.2,-32,-41
1866,-18.9,-40.9,-21.7,-23.3,-17.2,-18,-22.1,-17.7,-19.5,-26.6,-18.6,-28.1,-10.7,-21.9,-25.3,-27.6,-19.1,-18.6,-29,-40.9
1867,-21.6,-37.8,-16.4,-23.6,-21.4,-18.9,-26,-16.3,-23.5,-22.5,-24.2,-27.7,-9.5,-17,-21.7,-28.4,-19.4,-20.5,-27.6,-37.8
1868,-13.5,-40.8,-14.7,-28.2,-18.8,-16.4,-27.1,-19,-20.4,-24.5,-26.6,-27,-5.9,-16.2,-25.4,-26.9,-22,-17.8,-25.1,-40.8
1869,-19.2,-40,-21.8,-20.1,-19.9,-18.9,-23,-18.8,-23.6,-23,-23.7,-29,-10.1,-17.4,-19.4,-28.1,-16.7,-23.3,-23.1,-40
