"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,5.8,0,0.2,0,0.1,0.2,NA,0,0.1,0.3,17.2,0,32,23.7,2.1,0.1,1,3.4,0,0
"historical",1851,3.6,0,0,0,0.1,3.2,0,0,0,1.1,17.5,0,29,21.6,1.1,0.2,1.4,11.8,0,0
"historical",1852,1.3,0,0,0,0.2,0.5,0,0,0.5,4.2,14.4,0,35.9,7.7,0.7,0.7,0.1,0.3,0,0
"historical",1853,1.6,0,0,0,0.2,0.4,0,0,1,0.4,16,0,31.8,3.2,2.2,0.1,0.7,18.2,0.7,0
"historical",1854,2.4,0,0,0,0.3,0.4,0,0,0.5,0,11.8,0,32.7,3.9,0.6,0.4,0.6,2.9,1.8,0
"historical",1855,0.8,0,0,0,0.2,2,0,0,0.1,2.3,13.9,0,33.3,5.5,0.1,0,0.1,15.3,0,0
"historical",1856,1.5,0,0,0,0.1,1.3,0,0,0.9,0.3,15.4,0,35.4,25.3,1.5,0.1,0.8,8.8,0.3,0
"historical",1857,1.2,0,0,0,0.4,0.4,0,0,1.3,0.2,18.9,0,32.9,22.3,0.6,4.7,0.4,4.5,0,0
"historical",1858,2.1,0,0,0,0.1,0.2,0,0,0.1,8.2,17.2,0,29.7,9,0.6,0.4,0.2,2.9,0.3,0
"historical",1859,4,0,0,0,0.3,0.4,0,0,2.1,4.7,16.5,0,33,20.5,0.6,0.4,0.5,8.3,0.6,0
"historical",1860,1.8,0,0,0,0.4,0.6,0,0,0,3.2,15.2,0,34.2,14.7,0.9,0.6,0.2,10.6,0.3,0
"historical",1861,0.7,0,0,0,0.1,0.6,0,0,0.6,2.4,20.3,0,33.2,13.9,0.5,0.4,0.3,9.3,0.1,0
"historical",1862,0.2,0,0,0,0.2,0.4,0,0,0.7,0.5,16.4,0,35.1,2.6,0.3,0.1,0.1,12.8,0,0
"historical",1863,2.6,0,0,0,0,0.5,0,0,0.7,0.6,19.5,0,31.3,17.4,2.1,0.7,0.2,3.9,0.1,0
"historical",1864,4.3,0,0.3,0,0,0.5,0,0,0.6,1.3,23.4,0,35.5,0.8,0.5,0.2,0.8,6,0.1,0
"historical",1865,3.2,0,0,0,0.3,0.4,0,0,0.6,10.2,22,0,33.4,20.7,0.1,1.8,1.5,1.2,0.1,0
"historical",1866,0.8,0,0,0,0.4,1.2,0,0,1.8,4,16.2,0,32.8,5.5,1.1,0.7,0.3,7.7,0.1,0
"historical",1867,1.6,0,0,0,0.2,1.1,0,0,0.1,0.7,14.7,0,31.4,21.1,1.1,0.2,0,6,0.5,0
"historical",1868,2.8,0,0,0,0.3,0.4,0,0,0,0.1,20.6,0,30.4,4,0.4,0.5,1.3,11.2,0,0
"historical",1869,5.2,0,0,0,0.1,0.5,0,0,0.2,1.9,24.1,0,36,27.7,1.6,0.4,0.3,6.5,0.1,0
"historical",1870,1.5,0,0,0,0.1,0.3,0,0,0.3,11.3,19.6,0,31.4,15.4,1.4,0,0.1,2.1,0.1,0
"historical",1871,2.6,0,0,0,0.3,0.4,0,0,0,0.3,17.9,0,32,5.6,1.2,0.8,0.3,3.5,0.2,0
"historical",1872,3.9,0,0,0,0,1.5,0,0,0.2,0,15.2,0,32.4,10.9,2.1,1.8,0.9,2.8,0.5,0
"historical",1873,2.9,0,0,0,0.1,0.3,0,0,0.3,0.6,17.5,0,31.8,15.7,0.2,0.1,0,17.6,0.6,0
"historical",1874,6.6,0,0.1,0,0.1,0.6,0,0,0.5,3.7,16.2,0,31.1,24.2,0,1.5,0,10.1,0,0
"historical",1875,1.5,0,0,0,0.1,0.8,0,0,0.4,0.3,14.1,0,36.1,7.4,0.2,0.1,0.5,12.9,0,0
"historical",1876,6.1,0,0.1,0,0.2,0.4,0,0,0.3,0.6,22.5,0,34.6,8.5,1.5,2.5,0.1,1.2,0,0
"historical",1877,1.7,0,0,0,0.1,0.2,0,0,0.6,4.2,13.4,0,31.4,13.9,1.1,0,2.7,1.7,0,0
"historical",1878,4.1,0,0,0,0.1,0.2,0,0,3.1,1.3,14.5,0,32,7.3,1.1,2.2,0.1,5,0.7,0
"historical",1879,3,0,0,0,0.1,0.2,0,0,0,1.9,13.1,0.1,29.1,13.9,0,0.3,0.1,13,0.1,0
"historical",1880,9.4,0,0,0,0.1,0.3,0,0.1,0.4,0.7,14.8,0,43.8,16.3,0.4,0.4,0.3,4.7,0.2,0
"historical",1881,0.3,0,0,0,0.1,0.3,0,0,0.1,0.4,14.6,0,37.8,9.2,0.4,0.4,1.1,13.5,0.4,0
"historical",1882,6.5,0,0,0,0.2,0.4,0,0,0.4,0.8,12.3,0,30.9,14.1,1,0.2,0.1,11.1,0.1,0
"historical",1883,1.6,0,0,0,0.8,0.3,0,0.2,0.6,0.3,13.6,0,27.8,7.4,0.5,0,0,4.1,0,0
"historical",1884,1.8,0,0,0,0.1,1.2,0,0,0.5,2.1,17,0,31.5,15.4,0,0.3,0.7,1.8,0,0
"historical",1885,0.1,0,0,0,0.3,1.2,0,0,0,1.5,11.6,0,31.7,4.8,0,0,0.9,5.5,0,0
