"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,712.1,1010.8,771.5,646,834.4,751.2,709.2,925,641.1,661.2,911.7,902.1,973.5,698.4,1227.3,630.4,1074.1,617.7,519.9,519.9
2016,720.8,939.2,678.6,663,894.4,787.7,646.7,953.3,726.4,569.2,921.9,968.7,1058.7,790.9,955.1,544,1157.4,669.1,646.6,544
2017,709,940,518.1,626,932.4,917,666.3,993.4,729.1,648.9,786.8,938.9,1229.3,846.6,1063.5,516,1000.4,691.9,624.2,516
2018,726.9,957.7,521.8,693.5,834.3,875.8,650.5,1021.5,518.8,687.9,811.4,904.4,891.2,888.8,1014.9,681,1133.7,749.1,727,518.8
2019,751.4,849.2,677,685.7,838.5,866.8,685.9,943.6,673.8,577.6,980.5,910.8,1104.2,769.9,910.1,697.8,1069.7,702,648,577.6
2020,796.1,910.3,832.1,746.9,954.4,702.1,631.3,1057.5,592.2,693.1,809,951.3,1095.7,879.3,1269.3,688,981.8,702.3,659.6,592.2
2021,655.5,1145.7,710.9,692.2,755.1,742.5,596.8,884.3,534.5,643.3,794.7,831.3,1155.1,833.5,1077.8,731,1094.7,560.1,656.6,534.5
2022,725.3,872,631.2,776.2,839,828.8,749.6,1123.5,664.7,716.5,1033.5,1065.5,1209.2,840.6,1224.3,762.6,1079.9,596.4,652.4,596.4
2023,703.5,1048.1,867.9,663.3,945.3,803.7,707.1,1097.3,733.5,559.4,674.7,988.6,1085.6,858,975,573.6,1116.4,750.1,618.5,559.4
2024,611.3,691.6,795.7,696.8,886.3,801.9,589.3,1069.3,604.2,777.4,903.6,971.1,1057.4,778,1042.2,775.3,1130.7,665.8,688.3,589.3
2025,616.3,714.6,703.5,630.9,769.3,923.9,736.9,983.7,663,538.1,1038.5,942.7,1217.6,740.8,1047.1,573.1,1276.9,777.3,679.1,538.1
2026,719,918,622.4,742.3,842.5,820.8,752,1011.6,631.1,693.3,804.8,1028,1027.6,888.6,930.1,554.8,1262.8,703.6,597.2,554.8
2027,656.1,979.5,796,650.8,812,762.1,656.5,986.5,616.3,661.7,796.2,958.1,957,801.7,1228.1,642.2,1164.6,593,711.5,593
2028,651.9,735.6,646,652.5,838.7,759.6,732.6,999.1,620,667.2,843.9,898.2,1189.4,852.6,961.9,622.8,1201.1,670.2,667.8,620
2029,729.8,805.4,742.7,692.2,897.1,743,758,1058.4,672.4,600.8,889.9,961.9,1113.3,879.3,1039.5,660.7,1116.9,675.3,645.3,600.8
2030,691.8,1071.9,753.8,728.3,901.3,833.6,604.2,1077.7,605.9,589.9,802.4,949.9,927.3,883.5,1127.9,659,1296.3,642.2,682.8,589.9
2031,638.3,895,760.9,764.8,777.7,920.5,589,894.8,653.7,716.6,908,954.9,1077.3,794.7,1050.5,611.4,1088.2,764,755.8,589
2032,709.4,1039.2,687.5,728.7,801.2,682.6,581.6,1053.9,630.3,720.9,819.3,945.7,1184.2,837,1044.6,787.6,1113.7,653.6,679.2,581.6
2033,769.9,768.7,711,717.8,812.3,846.4,764.3,1022.5,599.1,664.9,873.6,975.2,1132.4,878.3,1413.9,545.3,1203.2,674.1,630.6,545.3
