"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,116,178.5,177.6,79.1,162.6,130.2,NA,163.5,179.5,97.4,140.5,139,199.4,68.7,153.9,58.4,213.9,128.5,100.5,58.4
"historical",1851,67.8,131.5,146.2,105.4,137.4,150.7,78.4,179.1,162.5,138,166.9,161.3,164.8,150.6,140.1,60.6,198.4,113.9,125.2,60.6
"historical",1852,122.5,104.7,114.8,50.8,170.6,73.2,111.6,130.4,130.8,157.4,130.6,147.3,244.7,157.2,175.2,86.9,216.5,144.4,124.5,50.8
"historical",1853,131.1,134.4,137.7,115.9,134.1,125.7,112,128,138.8,131.4,104.4,115.1,176.3,180.1,121.2,65.2,177.6,85.8,134.3,65.2
"historical",1854,128.5,135.2,143.4,84.9,158.5,136.4,73.3,220.1,159.9,124.3,120.6,145.2,159,154.1,134.6,55.6,216.6,146.3,156,55.6
"historical",1855,107.2,119.6,147.4,69.3,153.6,77.9,129.7,189.9,179.6,137.4,85.9,113.3,172.2,162,147.1,69.8,192.4,145.1,126.5,69.3
"historical",1856,110.6,109.1,130.5,64.4,148.1,151.3,120.5,197.3,146.7,97.2,133,135.5,162.5,170.6,137.5,77.7,238.3,134.8,133.2,64.4
"historical",1857,87.6,77.9,179.1,79.2,143,71,116.3,180.7,150,105.3,122.1,128.4,229.5,167.8,179.5,78.9,146.6,111.9,123.6,71
"historical",1858,114.3,59.9,165,99.2,122.8,144.6,118.4,159.2,123.9,140,110.5,138.1,212.1,122.1,116.5,73.7,217.6,114,80.8,59.9
"historical",1859,133.7,38,154.7,86.4,146.5,131.8,144,111.6,195.1,115,142.5,115.4,138.3,154.4,206,66.6,173.1,99.1,87.4,38
"historical",1860,119.5,109.6,145.2,112.9,127.2,132.6,121.9,177.3,150.6,156.1,163.7,93,151.2,160.6,165.8,74.3,183.9,136.8,133.8,74.3
"historical",1861,93.3,129.3,126,68.4,150.1,200.6,103.4,188.2,165,142.4,120.7,161.4,157.5,149.3,152.1,63.1,190.3,127.4,131,63.1
"historical",1862,119.7,102.4,127.9,82.9,143.6,152.9,98.9,180.4,169,123.2,137.1,136,184,132.6,154.6,74.8,244.4,110.9,91.1,74.8
