"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,211.3,128.6,247.6,165.2,209.1,95.8,210.1,262.9,144.3,176.6,129.1,318.5,402.9,268.7,211.5,156.2,347.9,192.9,194.1,95.8
2016,248.7,293.5,187.6,132.4,198.6,150.5,164.9,253.5,168,270.3,146,275.9,403.1,226,180.9,110,435.4,80.3,179.1,80.3
2017,199.2,149.9,232.7,211.8,229.6,188.3,229.3,322.7,108.3,205.4,203.4,257.9,390.1,188.1,186.9,150.8,259,127.8,212,108.3
2018,209.8,230.3,171.5,231.2,196.1,171.9,179.1,311.8,149.1,208.2,96.9,309,372.5,243,194.6,131,273.9,156.7,272.9,96.9
2019,176.8,185.1,223.9,175,121.9,156.2,226.1,239.6,132.9,259.8,116.5,350.8,446.6,311.2,217.1,114.3,291,139,176.7,114.3
2020,181.3,123.5,227.7,166.6,236.4,125.6,228.9,263,130,133.6,203.5,305,322.4,254.8,193.6,149.8,345.2,244.3,194.1,123.5
2021,145.7,230.7,163,211.3,241.2,240.5,206.1,219.7,134.7,211.6,165.4,267.3,300.3,255.1,284.7,164.6,287.3,252.3,133.9,133.9
2022,186.6,169.6,101.5,189.7,179.6,187.7,242.2,230.3,150.5,222.9,174.6,334.4,447.8,196.4,179.7,135.9,285,169.4,222,101.5
2023,193.7,304.7,168.9,177.4,271,176.4,185.6,244.1,105.5,226.5,218.1,299.9,488.2,264.8,264.2,147.9,335.8,141.7,183.7,105.5
2024,184.8,281.5,142.6,163.6,220.3,186.9,208.2,229.2,134.3,217.3,304.3,273,470.8,223.6,195.8,91.6,254.6,117.6,187.8,91.6
2025,188.2,112.4,145.9,146.4,204.6,242.3,160.9,318.8,135.1,229.8,178.5,298.9,439.8,304.8,198.4,102.7,464,166.2,160.5,102.7
2026,154.6,226.4,170.6,188.6,252.2,168.1,198.2,322.5,139.6,295.4,251.1,292.4,361.8,283.6,227.2,95.5,479.8,187.7,192.4,95.5
2027,128.9,208.7,128.3,175.7,187.6,165.9,271.6,338.2,101.6,130.2,145.7,356.1,466.7,275.9,201.9,137.2,506.2,118.7,221.2,101.6
2028,191.5,192.2,119.9,155.8,210.4,152.4,253.1,405,101.6,231.2,169.3,314.3,304.8,254.7,196.7,112.4,402.8,212.4,159.2,101.6
2029,194,138.3,182,189.8,186.8,294.2,208.7,256.5,79.3,295.4,146.7,251,435.5,307.9,258.5,123.1,389.4,226.7,208.7,79.3
2030,214.3,177.9,100.2,188.2,192.9,180.9,192.8,247.7,111.1,270.9,218.7,276.2,377.1,241.1,197.3,121.8,302.9,118.6,114.2,100.2
2031,163.8,177.3,228.1,152.7,220.2,147.5,174.2,207.4,191.8,208.4,242.8,293.2,295.7,258.3,267.4,154.5,313.7,170.2,187.9,147.5
2032,211.1,91.9,237.7,144.8,197.7,200.3,281.5,263,136.4,277.5,212.2,245.5,364.8,275.7,172.6,156.5,373.2,162.8,201.5,91.9
2033,212.2,187.8,182.9,231.7,222,173.2,214.4,251.9,96.6,280,156.9,283.4,440.8,270.9,137.8,125.3,432.2,200.1,168.1,96.6
2034,184.5,185.8,224.3,210.9,230.7,220.7,223,305.4,128.7,223,166.9,302.8,446.7,368.2,199.4,58.2,303.6,170.9,186.3,58.2
2035,185.9,228.2,104.1,251.4,137.5,182.5,199.3,293.9,141,216.4,226,329,372.7,262.1,273.7,141.8,287.7,145,191.2,104.1
2036,170.7,173.1,182.3,163,202.2,130.3,217.9,346.7,115.8,232.8,110.9,321.1,383.6,259.5,217.5,118.4,344.5,91.9,168.7,91.9
2037,160.7,152.7,192.4,203.2,152.7,156.4,182.4,277.2,128.8,235.5,110.4,300.3,440.6,299,197.3,119.6,354.6,207.7,114.5,110.4
2038,247.3,211.1,288.4,151.3,203.7,221.5,160.9,268.4,138.8,180.1,135.3,302.3,338.3,314.9,167.6,140.4,378.9,159.3,162.1,135.3
2039,190.1,180.7,158.3,163.6,274.2,159.2,134.4,297.5,133.9,346.8,153.2,265.3,448.1,355.6,208.4,114.8,379.2,253.1,183.5,114.8
2040,174.3,125.3,199.3,215.2,164.2,190.7,198.9,221.6,138.6,236.9,164.7,284.8,455.6,232.8,146.2,123,364.3,117.5,116.3,116.3
2041,154.5,188.7,240.6,207,166.3,168.1,230.8,249.2,119.3,138.4,183.1,253.5,350.8,199.1,305.3,133.9,400.6,93.8,172.6,93.8
2042,186.7,152.3,139.6,181.2,129.7,150.5,190.1,260.5,153.4,201.7,209.3,304.4,403.1,241.4,188.3,81.1,392.7,178.1,208.2,81.1
2043,180.6,206.9,108.5,190.7,207.1,215.3,189.3,295,144,352.1,186.5,244.7,351.8,371.1,199.8,130.4,292.9,219.9,152,108.5
2044,151.5,201.3,226,201,275.4,257.3,176.1,277.3,168,177.6,165.3,276,462.5,320.7,150.9,100.2,334.5,195.3,224.2,100.2
2045,171,218.4,376.5,143.4,228.9,210.2,170.7,294.6,110.4,68.5,188.8,300.5,396.1,369,160.7,114.2,356.6,248.3,192.3,68.5
2046,188.4,145.4,142.4,275.3,222.1,151.5,182.1,285,116.9,126.1,201.4,272.4,352.4,280.1,152.1,97.4,346.2,193.5,177.6,97.4
2047,196.1,142.3,149.7,140.6,236.5,257.5,262.4,299.8,158.1,301.4,199.4,338.8,314.4,267.4,297.4,91.4,481.7,195.2,175.6,91.4
2048,197.1,119.4,174.4,196.2,239,150.3,175.3,300.3,167.1,279.7,149,263.9,456.6,368.4,183.6,117.9,343.4,132.6,205.3,117.9
2049,169.3,144.2,119.3,178.3,187.7,171.2,190.5,311.6,128.7,344.6,242.7,286.4,395.2,207.5,182.5,69.6,336.1,112.9,171.7,69.6
2050,124.3,179.7,169.2,181.4,188,217.7,203.2,352,135.6,275.1,168.2,343.9,289.5,247.8,102.9,98.5,466.9,230.5,138.7,98.5
2051,168.7,216.2,150.4,174.9,213.5,204.4,205.6,261.4,155.9,156.4,129.6,306.1,358.8,262.1,217.7,131.6,517.5,114.1,164,114.1
2052,126.9,234,209.5,227.8,227,160.5,181.9,294.1,145.3,232.7,161,262.1,356.9,261.1,234,135.9,319.3,154.2,156.1,126.9
2053,152.9,133.9,209.4,177.8,222.5,235.1,239.9,311.5,115.1,167.8,183,346.5,338.4,239.3,174.6,140,393.1,105,167.1,105
2054,204.3,189.6,167.7,219.8,146.7,155,189.8,271,94.4,183.6,142.1,227.1,365.1,290.1,199.8,111.8,352.9,156.8,143.3,94.4
2055,219,166.9,175.5,224.7,190.6,142.2,215.3,314.9,104.8,142.3,176.4,279.2,252.2,266.6,277.5,82.9,307.5,159,208.6,82.9
2056,206.2,255,161.7,173.9,205.9,211.7,154.5,313,110.6,198.8,205.8,281.5,459.8,381.2,185.9,81.3,451.4,163.2,93.3,81.3
