"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,154,153.6,182.1,92.2,131.9,121.9,105,136.8,78.2,141.3,201.5,117.5,304.9,156.7,143.7,102.5,156.6,146.5,97.5,78.2
2016,125.5,164.6,145.5,97.1,158.9,146.3,103.9,94.3,119.2,133.6,209.5,118.3,263.8,156,183.6,106.9,214.9,141.9,107,94.3
2017,156.7,99.8,110.1,117.1,162,116.8,97.7,146.4,94.1,215,250.9,116.1,345.4,122.9,130.5,103.7,176.6,138.1,108.5,94.1
2018,177.4,152.1,96.4,110.9,145.4,109.6,101.1,80.8,104.9,159,185.6,73,301.2,144.9,137,132.2,232.7,119.9,134.1,73
2019,185.2,155,137.9,105.2,133.9,112.2,103.7,116.5,104.7,100.2,251.8,130.6,297.7,149.5,198.5,60.1,176.3,132,123.1,60.1
2020,165.7,216.4,119.7,73.8,123.9,117.1,90.9,101.7,86.7,116.3,166.4,110.4,313.9,161.1,199.8,118.8,200.1,178.5,125.1,73.8
2021,171.8,330.7,113.2,95.2,144,141.3,80.4,104.2,99,116.4,259,128.4,236.8,130.4,135.9,101.4,143.7,154.3,102,80.4
2022,183.5,113.5,134.2,94.7,143.5,104.1,67.4,137.4,97.3,154.1,264.5,148.6,326.1,176.3,156.1,87.4,145.5,146,100.2,67.4
2023,165.8,150.7,159.9,92.9,143,111.8,102.7,182.8,132.3,142,212.1,113.8,258.5,165.1,184.9,77,168.1,123,116.3,77
2024,169.2,187.4,89.1,98.7,138.6,155.3,98.6,148.2,99.5,150.3,281.9,165.6,311,207.4,107.6,90.8,250.9,130.8,88.2,88.2
2025,158.4,167.3,89.4,94.6,135.6,141.3,104.6,144.7,111.9,148.7,267.2,128.4,239.6,181.8,204.3,87,166.2,132.8,110.3,87
2026,166.8,164.9,101.1,116.7,156.8,130.4,105.7,128.6,121.7,169.4,348.6,89.1,225.8,145.2,197.6,117.7,186.7,177.4,149.2,89.1
2027,173,133.1,122.2,97,120.7,129.3,98.6,142.3,133,147.8,136.7,98.4,310.7,187.1,198.1,117.9,176.3,176.7,125.1,97
2028,155.6,166.4,183.7,98.4,151,141.9,86,141.7,120.6,209.2,211.1,142.8,296,174.8,191.9,68,214.8,176.3,123.8,68
2029,143.1,271.7,161.2,94,167.4,108.9,108.5,151,107.1,226.6,291,137.1,341.7,163,132.7,111.1,247.2,135.2,110.5,94
2030,151.4,81.1,178,92.3,130,130.2,106.7,154.8,96.3,135.5,238,132,226.2,227.9,173.3,117.7,166.3,174.8,120.9,81.1
2031,148.2,128.5,153.5,99,165.9,157,80.2,109.5,89.8,140.5,246.9,123.5,241.6,169.1,163.8,95.4,227.5,142.5,100.1,80.2
2032,152.8,163.3,167.8,120.2,148.1,136.5,74.3,117.8,135.4,113.4,221.7,162.8,312.7,154.7,214.2,87.8,292.4,161.1,113.9,74.3
2033,164.6,97.8,101.1,100,156.6,164.4,87.9,146.3,105.2,163.5,278.8,141.1,278.9,251.4,207.2,133.3,208.9,148,145.5,87.9
2034,148.6,247.9,156.5,98.7,138.9,141.3,115.7,147.9,119.6,169.7,280.2,146.4,297.7,174.1,214.1,114.6,232.9,234.7,107.2,98.7
2035,167.6,112.5,142.4,99.5,114.7,156.8,83.6,102.6,110.5,122.9,291.1,157.8,256.2,197,163.4,116.2,224.4,172.5,105.3,83.6
2036,163,141.4,113.4,102.6,142.4,186.6,115.2,188,141.6,154.2,191.8,185.3,291.7,139.6,239.6,145.3,266.2,126.5,136.5,102.6
2037,184.6,155.5,118.3,130.4,95.9,143,101.2,122.9,136.3,150.8,185.2,119,290.3,190.1,187.8,118,230.4,220,113.2,95.9
2038,162.5,162,131,80.2,178.2,149.4,99.9,133.8,111.1,179.4,176.3,138,300.8,198.8,191.9,127.4,229.1,137.9,124.8,80.2
2039,179.2,230.7,143.2,138.1,143.6,138.1,104.3,152.6,105.1,144,208.5,157.6,335.9,180.6,181.8,106.8,220.3,161.7,108.2,104.3
