"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,120.8,474.5,403.6,173.8,244.4,241.2,160.1,439.1,183.8,159,403.2,333.2,134.8,179.8,574.9,156.3,254.4,165.1,159.2,120.8
2016,104.2,385.8,280.8,138.1,164.9,282.4,114.6,259.3,213.7,110.5,381.8,241.6,225,170.2,233.9,126.5,229.7,200.4,179.1,104.2
2017,126,319.8,200.7,125.9,255.2,203.5,135,304.3,249.9,207.1,277.8,289.8,273.2,119.7,262.4,105.6,375.6,233.8,165.8,105.6
2018,101.7,316.4,194.2,159.1,232.4,251.7,157,421,243.6,137.8,267.1,283.9,259.6,211.2,340.1,127,294.9,180.2,83.8,83.8
2019,115.2,330.6,226.8,163.7,231.3,234.2,147.7,219.1,254,166.8,434,245.6,245.4,87,307.5,188.8,280.3,173.8,137.5,87
2020,85.1,284.6,180.7,161.9,268,189.7,155.8,203.3,299.8,151.8,366.8,208.4,235.6,132,294,117.3,333.9,129.4,170.9,85.1
2021,134,428,313.6,136.5,234.7,168.5,213.8,320.1,176.1,176.1,364.6,268,372.3,123.6,347.7,121.2,281.1,197.5,125.1,121.2
2022,126.8,359.1,288.3,182.8,178.1,166.4,107,506.5,237.6,183.5,370,154.6,187.8,197,279,128.2,356.4,125.9,69.3,69.3
2023,77.2,316.1,351.8,138.1,260.8,225.7,146.3,410.5,225,196.7,272.8,244.7,117.1,210.1,323.5,144.7,366.3,191.1,99,77.2
2024,109.3,747.2,331.3,154.4,304.3,215.9,179.3,393.1,225.8,180.9,284.9,248.8,174.9,145.7,266.7,107.1,232.2,85.2,108,85.2
2025,134.5,235.5,361.4,203.8,292.7,261.1,73.6,479.5,176.5,185.6,309,254.9,168.5,141,379.9,155.1,199.2,111.1,145.5,73.6
2026,87.9,353.4,362.5,186.8,242.2,256.4,83.3,178.7,192.5,162.1,300.2,244.1,239,149.9,292.1,125.9,388.3,182.5,165.2,83.3
2027,112.1,459.6,145.9,130.6,216.4,205.5,152,383.6,196.3,170.8,403,251.4,241.4,173.5,318.9,151.7,320,188.4,109,109
2028,131.8,494.9,292.2,163.7,258.4,180.2,95.9,371.6,199.9,104.6,269,285.9,117.7,124.1,224,175.3,312.3,211.3,125.2,95.9
