"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,55.8,41,26.5,34.3,50.8,47.3,81.1,36.5,13.1,46.9,50.1,73.4,33.3,39.2,28.2,72.2,35.3,37.2,13.1
"historical",1851,37.9,64.4,45.3,60.4,61.3,58.4,82.4,35.1,72.2,62,55.7,105.2,51.4,52.3,37.6,50.2,59.8,61,35.1
"historical",1852,47.6,41.7,52.6,50,68,76.1,64.3,37.6,44.2,62.2,58.4,82.7,51.1,67.2,32.1,74.6,51.6,40.5,32.1
"historical",1853,62.8,80.4,26.4,40.3,18.9,64.2,36,62.4,47,75.5,79.1,127.1,75.8,80.6,32.8,111.3,48.6,28.4,18.9
"historical",1854,56.4,105.9,63.7,20.8,78.4,76.9,111.9,28.5,53.4,70.4,42.8,67.9,61.6,64.9,27,45.4,41.6,30.4,20.8
"historical",1855,23,137.6,64.2,31.2,50,54.4,95.9,43.8,67.7,68.4,51.3,96.3,57.6,69.6,42.9,68.8,65.6,39.8,23
"historical",1856,49.1,75.4,38.2,45.6,18,43.5,64.7,44.2,42.2,42.4,36.7,46,50.8,38,22.6,59.7,54.3,40,18
"historical",1857,62.5,97.5,85.5,46.4,25,80.3,61,44.4,69.9,56,58,62.5,45.1,63.9,25,126.9,39.5,32.3,25
"historical",1858,70,115.5,32.3,38.7,59.7,65.5,58.6,55.1,33.1,74.9,60.4,79.7,56.9,41.6,44.1,43.4,66.7,39,32.3
"historical",1859,21.2,71.2,49.3,71.8,71.9,45.6,110,34.6,24.9,76.3,65.3,37.5,55,85.5,33.8,49.7,51.2,17.9,17.9
"historical",1860,62.6,144.7,36.3,35.2,50.8,62.5,97,36.1,41.9,51.4,40.7,51.9,69.6,33.4,33,60.5,35,32.6,32.6
"historical",1861,58.2,129.9,20.6,32.8,49.8,41.9,83.1,33.7,21.3,67.2,27.4,44.4,21.5,71.5,37.7,77.3,30.5,42.3,20.6
"historical",1862,41.8,66.2,9.6,44.5,67.4,47.1,84.8,48.2,36.9,18.6,40.7,91.9,38.7,52.8,29.3,68.2,39.4,44.1,9.6
"historical",1863,39.5,128.7,62.6,49.8,31.9,30.4,86,47.8,48.5,51.2,61.1,52.2,32.6,28,15.7,39.6,41.1,39.4,15.7
"historical",1864,45.3,108.1,59.7,45.8,60.9,45,93.2,13.2,65.4,55.7,53.7,64.4,54.8,46.5,34.5,90.2,49.3,41.4,13.2
"historical",1865,45.3,72.9,66.5,44.4,23.6,47.2,52.7,62.2,41.8,46.1,35.4,62.1,45.8,54.4,39.8,90.9,52.8,36.9,23.6
"historical",1866,37.9,90.9,78,40.3,65.4,78.5,47.7,26,28.3,97.2,45.5,57.8,51.5,40.2,20.5,77.3,19.9,36.4,19.9
"historical",1867,26.8,41,74.1,55.9,56.2,41.4,83.4,34.6,28.6,97.8,76,68,40.2,41.1,26.1,96.1,52.1,18.1,18.1
"historical",1868,59.1,46.6,51.4,41,61.8,45.5,112.1,54.2,44.9,73.6,64.3,109.6,75.7,105.5,41.4,54.7,23.1,48.1,23.1
