"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,37.3,33.5,62.7,42.9,71.3,66.9,78.3,93.2,44.7,56.4,60.9,84.1,101.2,66.7,176.4,47.3,160.3,38.7,45.6,33.5
2016,40.9,85.7,60.7,59.7,46.2,57,59.8,78.9,28.8,24.1,35.3,73.4,121.9,58.4,88.7,48.4,109.5,46.5,54,24.1
2017,47.7,79.3,36.5,48.3,34.7,94.1,62.3,131.3,20.6,19.7,40.7,123.5,95.6,37.4,98.9,30.9,109.4,31.4,58.4,19.7
2018,47.6,74.5,31.6,58.3,50.8,50.4,57.4,124.8,38.2,58.6,64.2,125.2,119.8,50,50.4,28.9,124.6,92.8,74,28.9
2019,46.3,32.4,84.8,55.7,60.9,36.4,74,153.3,32.4,30.4,59.2,94,110.5,73.3,59.7,62.3,149,56.5,54,30.4
2020,38.9,34.9,33.6,28.1,64.1,55.9,83.9,70,29.3,80.3,21.7,100.7,125.7,54.1,41.5,56.2,79.1,74,49.4,21.7
2021,50.8,46.8,74.8,57,53.6,39.9,57.2,127.9,12.9,59.3,35.6,87.7,128.3,70.2,109,58.9,129.3,49.3,45.5,12.9
2022,37.7,88.7,64.1,39.1,40.6,49.3,104.6,129.6,27.4,55,38.5,132.4,137.8,66.4,128.8,62.7,189.9,61.5,67.5,27.4
2023,32.6,46.5,91.5,74.7,53.3,78.2,75.8,117.3,12.5,67.1,43.4,104.8,74.3,48.3,72.1,47.8,137.2,28.4,38,12.5
2024,43.3,79.7,94.2,62.9,69.6,29.6,84.9,108.8,32,38.2,49.7,112.8,134.6,68.5,73.1,76.7,103.4,39.9,32.2,29.6
2025,30.9,49.8,46.2,40.9,53.9,68.1,52,63.7,27.8,41.3,86.6,103.4,123.7,70.4,112.8,56.2,152,65.9,57.8,27.8
2026,23.6,38,36.2,48.3,36.8,40.8,44.5,120.4,44.3,46,51.6,135.4,94,82.9,80.5,47,155.8,56.5,24.5,23.6
2027,30.3,66.2,49.1,41.9,80.4,48.7,66.6,94.4,25.2,51.8,32.2,89.4,121.9,47.4,67.9,74.7,101.6,35.9,30.9,25.2
2028,29.1,44.4,46.7,45.2,57.2,50.3,103.5,152.6,12,34.1,54.5,90.9,114.1,60.9,90.7,53.6,106.5,61.5,47.6,12
2029,40.1,72.4,35,53.1,62.5,46,52.1,101.3,21.3,48.9,68,82.6,146.5,42,124.3,51,162.6,37.5,36.2,21.3
2030,24.6,99.4,73.7,40.7,77.6,27,54.7,120.5,16.4,53.1,47.9,117.1,100.5,74.5,45,43.7,114.3,58.9,76.6,16.4
2031,42.1,95.3,64.9,45.4,56,49.8,58.1,72.3,66.7,31.5,46,103,205.9,27.1,111.8,49.6,149.7,68,49.7,27.1
2032,35.3,62.4,77.9,60,49.8,40.2,59.2,138,15.4,42.8,37.3,70.3,157,40.1,100.3,75.6,175.9,22.3,57.1,15.4
2033,21.5,60.8,23,59.4,71.6,48.1,59.3,100.6,23.9,64.6,33.4,106.3,113.3,60.1,132.8,47,122.3,18.6,56.9,18.6
2034,18.5,75.2,85.4,53.8,40.1,57.7,83,112,15.1,54.8,26.9,84.5,94,38.9,40.8,29.8,95.1,74.4,61.6,15.1
2035,14.9,31.7,62.4,58.6,27.6,17.1,52,124,13.8,29,51.9,87.2,157.2,58.1,40.1,42.6,99.2,28.7,55.7,13.8
2036,55.7,44,61.6,51.1,39.9,28.3,84.4,164.6,59.8,27.2,48.2,106.3,140.2,60.9,74.4,56.1,179.1,83.8,84,27.2
2037,44.6,39.1,47,66,58.6,61.2,58.7,63.2,44.2,59.9,67.2,104.3,86,23.6,81.9,39.8,120.5,67.4,48.2,23.6
2038,16.4,113.5,39.6,41.1,53.7,65.3,47.6,165,23.2,64.6,20,94.8,121.1,67.3,83.6,34.4,91.1,92.8,64.8,16.4
2039,36.5,78.3,53.5,71.8,77,26.8,59.7,157.8,36.3,35.2,42.7,65.8,143.5,48.4,83.6,53.2,147.4,64.2,35.7,26.8
2040,19.9,49.8,37.3,49.2,80.6,45.4,66.2,123.1,43.9,56.5,97.8,78.7,102.5,41.4,89.1,25.4,130.5,58.9,40.9,19.9
2041,39.6,74,65.2,42.9,43.4,55.1,82.3,129.3,11.8,26.9,47.3,97.1,138.9,55.3,112,44.6,215.6,45,36.9,11.8
2042,54.9,61.7,59,31.4,25,43.5,51.2,148.9,47.2,25.8,50.6,87.1,98.1,45.6,101.1,64.3,176.6,65.9,57.2,25
2043,30,30.1,46.8,56.9,43.1,43.9,57.8,104.8,21.3,34.1,35.4,73.3,151.6,43.4,60.1,60.1,196.2,33.9,70.8,21.3
2044,24.4,113.8,46.4,39.2,36.4,38.8,35.9,65.6,50.6,36.2,32.9,109.8,164.2,64.4,85,54.7,108.3,54.8,29.4,24.4
2045,28.8,20,54.2,59.5,51.6,29.9,40.1,119.8,34.3,29.9,17.4,66.8,143,61.3,68,28.8,145,54.2,62.1,17.4
2046,21.3,102.5,99.3,60.7,44.2,78.8,31.9,100.4,38.6,49.1,38,82.6,131.6,49.4,136.5,66.8,65.5,96.8,31.8,21.3
2047,33.8,31.3,71,64.8,77.9,34,67.3,138.7,32.9,25.9,44.2,91.3,120.7,50.3,108.3,37.3,197.6,74.1,24.3,24.3
2048,38.1,87.1,45.9,62.8,51.5,42.7,39,88.3,30.6,16.5,36.4,93.5,116.7,33.5,54.3,54.1,62.1,68.1,41.5,16.5
2049,24.8,45.5,45.2,37.8,69,47,48.5,103.6,36.7,13.9,26.8,87.4,95.3,53,130.1,45.6,107.1,57.9,22.1,13.9
2050,46.5,59.8,47.8,80.7,92,61.3,45.4,120.5,24.8,63.3,46.3,74.3,133.9,19.9,53.2,91.6,108.9,23.9,46.3,19.9
2051,40.3,63.5,65,74.6,60.7,27.8,38.7,57.4,21.9,38.2,33.6,113,92.5,58.2,46.3,73.9,115.6,33.5,52.7,21.9
2052,38.7,23.6,126.7,61.8,57.2,50.4,43.8,117.4,12.5,44.8,63.7,76.9,97.2,36.1,109.2,62,150.9,48.1,36.7,12.5
2053,31.8,26.4,84.5,62,55,38.5,82.6,157.3,16.5,34.8,36.6,86.5,94.4,51.5,123.5,39.9,94.2,98.4,31,16.5
2054,37.2,32.8,48.5,52.4,47.1,63.4,68.6,122.7,30.6,28.1,36.7,84.5,111.5,36.5,74.5,58.4,157.3,57.7,29.5,28.1
2055,37.2,50.5,66.9,48.9,20.1,29.4,81.7,115.6,15.9,71,42.8,51.7,86,48.8,78.2,92.4,141.6,46.1,8.3,8.3
2056,36,51.5,56.5,63.4,53.5,80.9,53.6,95.3,11.6,59.3,20.5,102.6,99,38.6,137,35,156.3,35.5,47.3,11.6
2057,38.5,49.2,52.3,49.4,48.5,32.1,30.6,120,48.7,23,25,120.6,137.5,54.6,128.1,58.5,85.4,86.8,19.6,19.6
2058,21.7,53.2,44.3,54.5,80.8,63.1,65.4,96.9,19.4,60.3,15.1,93.2,97.6,52.1,98.1,32.3,162.7,68.6,28.4,15.1
2059,27.7,69.1,62,53.2,52.6,35.9,56.9,59.1,47,34,36.1,88.5,87.9,40.9,127.2,43.3,159.8,70.5,27.4,27.4
2060,60.6,66.2,34.9,74,33.9,68.8,67.1,125.6,47.3,13.7,26.1,73.5,90.4,44.7,94.2,28.6,155.5,49.4,49.5,13.7
2061,17.6,48.3,62.2,45.8,65.8,37.2,47.2,127.3,32.3,20.9,31.3,89.4,97,35,115.9,59.6,135.1,79.6,33.7,17.6
2062,33.6,31.1,32.1,59.2,63.2,26.3,59.7,120.1,14.8,37.7,78.3,76,142.4,41.6,148.8,26.2,140.4,39.5,30.6,14.8
2063,45.4,52.9,67.9,65.3,43.3,57.3,62.4,93,27.2,25.9,40.3,96.5,90.5,57.5,51.3,40.2,145.4,51.2,31,25.9
2064,24,50.4,30,71.3,45.2,65.1,16.1,96.9,29.7,21.1,60.4,83.3,97.6,51.8,78.8,42.4,160.1,41.1,31.3,16.1
