"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,2.8,15.4,1.8,0.6,6.3,6.7,1.2,2.3,1.8,NA,7.5,2.4,6.5,6.2,0.5,2.1,1.9,NA,4.1,0.5
2016,3,17.4,1.2,2.6,3.5,4,0.4,3.6,1.5,NA,6.4,3.5,6.6,6.8,0,0.4,3.2,NA,5.3,0
2017,3.7,13.5,1.5,1.8,3.4,2.4,3.4,5.6,1.7,NA,3.8,1.3,8.6,5.4,1.2,1,3.6,NA,3,1
2018,1.4,17.3,3.9,2.9,4.7,6.2,3.4,2.7,0.5,NA,5.5,2,4.4,7.1,2.1,2.2,2.7,NA,3.3,0.5
2019,4.3,8.9,0.7,2,5.1,5.3,1.6,4.1,1.4,NA,6.9,2.8,5.7,5.6,1.3,1.9,2.8,NA,4.7,0.7
2020,5.3,16.2,5.2,3.5,2.5,4.3,2,5.2,1.5,NA,6,1,6.7,5.2,2.7,2,4.2,NA,4,1
2021,5.4,8.5,3.8,3.7,5.6,3.4,0.3,3.4,1.6,NA,5.9,2.7,6.9,5.7,2.8,0.7,3.4,NA,7,0.3
2022,2.6,8.7,2.7,2.9,3.3,7.1,2.4,4.8,2.6,NA,6.1,1.7,7.8,6.7,0.9,1.7,4.1,NA,4.6,0.9
2023,4.8,13.3,3.9,2,4.9,5,0.3,7.3,1.1,NA,6.8,4.6,7.1,5.9,2.9,1.9,3.2,NA,3.3,0.3
2024,6.7,13.8,5.2,3.5,5.4,4.3,3.2,2.3,0,NA,7,2.9,6.6,7.2,1.4,2.9,3.6,NA,6.2,0
2025,5.3,15.1,4.5,4.2,1.1,4.8,3.8,8.9,2.1,NA,7.4,1.8,8.5,7.6,2,2.2,2.2,NA,7.4,1.1
2026,6.5,16,2.5,4.1,2.8,3.8,2.2,3.7,2.7,NA,6.9,2.5,6.9,7.4,3.2,0.6,2.5,NA,4.1,0.6
2027,5.8,9.8,2.6,4.9,2.9,5.6,0.9,1.3,2.6,NA,7.8,2.2,6.9,7.2,3.2,2.2,4.2,NA,6.3,0.9
2028,4.7,19.8,8.5,2.1,4.5,6,3.7,2.6,0.4,NA,5.8,1.5,5,5.8,0.7,2.7,4.3,NA,5.6,0.4
2029,6.3,12.1,3.4,5.2,3.5,7,1.1,0,2,NA,5.9,1.6,6.2,6.3,3.2,1.6,5.2,NA,5.3,0
2030,5.1,22.8,5.2,3.7,2.4,6.2,1.9,5.8,1.6,NA,6,3.4,4.3,6.6,2,2.2,3.5,NA,4.4,1.6
