"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,128,42.9,66.8,87.1,103.3,115.2,NA,81.7,122.2,123.5,148,91.7,161.3,155.4,104.5,97.2,135.4,131.2,113.6,42.9
1851,129.1,42.8,56.5,94,91.1,122.5,108.9,90.8,102.6,128.4,157.1,87.3,167.9,152.6,99.2,103.2,124.6,131.4,109.7,42.8
1852,125.7,31.4,71.4,93.2,96.2,120.4,103.6,91,122.2,127.9,156.1,98.4,181,151.2,95.8,93.5,111,126.3,119.1,31.4
1853,128.7,30.8,85,92.9,114.2,121.5,97.6,86.8,117.4,138.1,153.4,94.2,176.7,132.9,112.7,92.9,120,132.7,123.8,30.8
1854,131,22,70.3,94.7,109.3,109.4,96.3,87.2,99,121.7,150.1,96.1,174.4,131.4,93.1,94.1,125.6,121.7,129.7,22
1855,130.7,52.6,76.7,75.4,100.2,125.4,99.8,82.7,108.7,126.7,150.5,106.7,172.8,129.5,99.4,88.5,126.9,127.6,120.9,52.6
1856,127.8,58,68,78.7,104.8,119.3,79.9,83.2,117.4,123.4,153.2,98.7,184.6,153.7,101.8,98.1,131.4,122.3,121.6,58
1857,129.8,37.1,67.2,91.8,97.6,119.7,86,89.6,115,124.2,156.9,101.4,182.2,153.9,102.7,94.8,125.8,127.1,119.6,37.1
1858,130.1,18.7,85.8,79.7,107.4,119.1,85.4,88.1,109.1,142.9,149.8,107.6,156.3,133.5,114.3,94.6,125.4,123.5,122.7,18.7
1859,125.9,19.5,78,80.4,96.7,120.5,103.3,92.2,122.2,132.8,151.9,92,178.6,157.6,116.3,93.1,126.8,122.5,123.1,19.5
1860,131.2,33.2,94.2,92.3,114.1,116.5,111.4,91.5,97.8,134.5,153,110.6,185.4,150,111.1,98.4,126.6,125.7,119.3,33.2
1861,131.3,34.6,89.1,99.1,100.7,121.9,90.7,86.4,110.5,142,151.7,104.1,170.4,151.5,105.5,101.7,118.6,123.5,121,34.6
1862,128.6,44.4,66.2,91.1,97.1,122.5,100.4,84.7,122.4,130.4,152.9,90.8,185.1,141.8,99.8,92.9,120.8,126.4,120.2,44.4
1863,136.2,10.7,73.7,86.7,114.9,104.8,94.6,94.6,117.3,127,154.1,100.7,176,153.3,108.6,91.4,113,122.7,117.9,10.7
1864,139.2,27.3,88.5,87.4,103,122.6,111.9,87.7,122.6,131.3,151.2,89.4,195.7,146.5,100.3,93.1,140.6,117.7,123.3,27.3
1865,133.4,35.7,77,97.9,110.5,124,99.8,91.2,116.1,141.4,154.9,86.7,172.3,148.9,102.4,95.7,135.4,126.6,111.4,35.7
1866,139.2,47.1,88.6,75.6,99.7,121.8,89.7,88.9,119.7,131.3,157.3,103.8,183.5,134.4,104.7,96.6,122.1,125.5,121.6,47.1
1867,130.6,36.4,87.2,76.8,95.4,121.5,82.8,108,115.4,124.7,154.9,87.9,158.8,152.4,91.7,93.7,107,125,118.7,36.4
1868,129.9,43.9,76.8,91.8,100.6,123.5,101,72.4,119.1,112.2,156.7,97.9,160.6,143.6,109.8,87.2,128.6,122.2,126.3,43.9
1869,137.9,54.3,88.7,82.3,106.1,122.4,99.9,87.7,121.2,126,164,97.3,182.1,153.5,96.2,96.5,133.2,127.3,120.9,54.3
1870,137,43.3,78.3,84.4,114.3,122.5,90.9,88.7,122.1,148.7,150.8,95,169.6,155.5,97,95.4,114.2,122.4,125.6,43.3
1871,124.7,50,78.3,97.1,111.6,123.6,108.5,90.6,104.5,129.3,155.3,100.5,158.8,150.7,107,97.2,132.5,124,122,50
1872,134.3,42.4,75.8,95,104.4,127,102.9,85.2,118.6,120.7,150.8,109.4,182.4,147.4,111.4,97.6,124.5,124.8,126.1,42.4
1873,137.6,41.8,62.7,93,106.5,123.8,101.8,90.1,123,124.3,154.7,95,174.5,156.3,109.8,91.5,126.9,135.9,124.7,41.8
1874,145.8,23.4,60.6,94.3,115.7,123.5,88.4,86.9,99.9,142.8,152.4,106.8,168,149.5,106.3,92.5,121.9,125.6,121.4,23.4
1875,128.1,20.8,90.6,95.9,110.8,109.3,95.2,81.4,116.7,130,150.4,100.2,195.9,151.4,100,94.7,139.4,123.5,121.1,20.8
1876,139.3,43.8,77.1,99.1,105.9,118.1,89.6,87.9,117.7,124,151,91.4,183.5,142.7,97.6,93.3,126,122.8,117.4,43.8
1877,122.6,55.2,68.7,95,118.8,120.3,104.2,105.1,123.6,147.8,146,84.8,175.1,143.3,99.1,92.5,135.2,122.4,122,55.2
1878,131.3,28.9,69.9,72,119.4,119.3,100.4,92.5,125.6,135.1,153.3,106.3,156.5,146.4,97.7,95.7,122.3,122.9,118.5,28.9
1879,133.1,42.1,60.2,95.9,115.3,117.1,106.6,91.8,114.9,146.4,144.7,97.7,172.6,143.2,102.5,95.3,119.3,124.5,110.7,42.1
1880,137.3,33.6,75.6,90.3,117.2,121.2,103.8,95.5,119,127.2,156.8,88.2,195.1,151.1,97.4,93.5,133.5,123.6,124,33.6
1881,127.2,40.5,86.8,97.3,108.8,114.7,112.3,81.7,120.8,123.1,148.7,70.8,196.7,146.7,97.5,94.3,128.2,127.6,115.1,40.5
1882,131.6,41.6,64.5,91.1,95,110.4,116.2,87.2,128.7,127.9,145.7,92.9,173.5,149.7,108.5,93.7,119.2,144.3,116.5,41.6
1883,125.1,41.1,48.7,88,104,122.7,114.2,92.8,115.1,122.5,154.3,101.4,165.8,143,105.4,92.7,120.1,123,108.9,41.1
1884,131.4,35.2,43.7,86.6,96.6,108.9,93.9,73.6,92.5,127.9,143.8,86.8,162.1,149.1,97.7,88.8,115.5,118.4,117.1,35.2
1885,122,39.3,57.2,86.6,102.4,98.2,89,82.3,114.1,125.6,149.1,86.2,161.9,140.9,95.8,91.8,136.2,119.8,118.9,39.3
1886,127,46.2,63.9,85.4,97.1,114.6,77.7,78.7,102.9,122,142.8,89.8,175.4,142.1,99.3,94.5,116.7,128.8,119.3,46.2
1887,130.5,44.9,91.5,80.8,102.7,118.3,91.2,72.9,107.6,133.8,150.8,90,169,125.2,110.7,94.8,122.9,135.1,121.7,44.9
1888,133.5,45.5,69.1,84.2,98.8,109.2,95.7,73.3,121.4,125.1,135.4,99.1,186,139.4,95.4,92.8,125.7,125.1,125.7,45.5
1889,121.9,61.4,68.9,89.2,103.6,120.5,104.1,92.2,119.3,126.4,160.8,103.4,176.6,146,104.7,95.5,125.2,129.5,117.6,61.4
1890,124.1,40.3,82.3,83.8,103,123.4,111,90.3,100.8,135,153.5,100.1,164.3,151.9,98.7,101.7,116.5,121.5,110.1,40.3
1891,123.7,24.8,54.6,84,107.9,124.1,79.4,83.6,101.7,120.3,140.4,90,170.7,148.4,101,95.3,127.7,128.1,120.3,24.8
1892,125.5,37.8,84,91.4,97.1,111.5,114.3,90.7,117.4,138,142.9,88.7,175.1,144.9,101.2,94.2,115.9,125.5,118,37.8
1893,124.5,51,58.6,88.5,110,103.8,84.8,91.4,107.3,126,155.1,94.9,180.1,140.4,98.1,93.2,127.2,125.1,122.4,51
1894,126.3,41.1,77.9,78.8,108,118.4,85.2,85.7,91.9,124.4,150,96.4,170.8,147,97.7,93,121.2,125.2,122,41.1
1895,124.4,33.6,48.1,92.7,104.3,120.9,103.8,67.6,101.5,125.6,153.5,90.3,158.5,139.6,109,99.9,130.3,125.2,125.5,33.6
1896,123.9,34.9,86.8,82.9,99.2,118.3,86.2,95.7,121.4,141.6,142.5,92.6,174.8,148.8,108.6,97.9,131.3,122.6,119.8,34.9
1897,136.6,42,66.8,78.4,105.8,101.1,77.5,95.5,115.7,141.3,144.6,105,195.1,138.8,101.2,93.4,123.4,125.1,118,42
1898,128.2,42.9,81.5,88.2,113.2,115.6,86.3,90.9,112.8,127.3,155.4,101.9,175.5,146.4,103.7,98.3,114.6,122.7,115.7,42.9
1899,128,49.7,73.9,87.4,115.3,112.9,108.8,84,108.5,126.8,149.9,92.9,180.2,154.6,108.4,93.2,120.7,126.6,120.1,49.7
