"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,946.6,967.3,1464.1,1065.9,1177.8,953.5,839,1205.5,726.8,808.8,1382.6,1346.9,1466.1,968.7,1042.9,1327.1,1421.4,1372,715.8,715.8
2016,899.8,1032.7,1411.4,987.1,1192.3,1027.9,754.9,1164.2,786.1,685.9,1272.4,1467.9,1372.7,1021,897.9,1135.2,1389.1,1507.9,859.9,685.9
2017,887.3,775.1,985.1,1084.2,1231.3,1187.9,708.2,1379.7,830.2,740.6,1040.5,1332.5,1762.8,1083.2,991.1,1391.7,1312.3,1582.7,824.8,708.2
2018,1012.7,1065.4,1028.4,1042.1,1157.6,1205.9,779.8,1292.2,765.5,860,1097.3,1131,1107.9,1218.3,853.6,1346.5,1416.7,1298.8,855.3,765.5
2019,911.6,851,1388.6,1121,1063.5,1239.8,736.9,1333.3,908.8,666.7,1232.4,1119.9,1503.9,996,829.6,1379.3,1385.1,1623.3,858.6,666.7
2020,1006.4,853.1,1466,1179,1315.1,937.4,766.6,1412.5,784.9,781,1085.7,1233.5,1417.7,1138,1088.3,1419.2,1232.1,1403,735.8,735.8
2021,916.6,1136,1245.7,1125.4,1077.1,947.7,712.9,1273.6,709.1,738.9,1099.4,1445.2,1552.5,1219.4,934.5,1417.3,1308.2,1106.5,791.7,709.1
2022,952.2,964.9,1169.8,1162.8,1011.1,1132.1,885.8,1447.8,868.9,894.5,1481.8,1553.9,1540.9,1069.2,1028.9,1399,1324.4,1378.9,819.3,819.3
2023,950.4,1021.7,1617,1061.9,1098.1,1056.1,787.2,1545.5,821.3,647.4,947.5,1452.4,1435.6,1169.5,827.3,1476.4,1319.7,1702,783.9,647.4
2024,944.8,852,1581.7,1166.4,1157.6,1129.2,731.2,1577.3,650.4,987.6,1176.6,1449.2,1461.5,843.5,867.7,1535.6,1461.6,1358.4,908.3,650.4
2025,878.7,939.4,1450,1085.5,1106.7,1155,840.7,1288.9,971.3,675.8,1449.9,1203.2,1598.2,939.4,1165.2,1220.1,1439.9,1550.2,752.4,675.8
2026,880.2,884.5,1241.6,1193.2,1092.5,1207.6,803.4,1371.9,843.5,840.8,1154,1648.7,1335.2,1262.6,890.3,1264.5,1511.7,1528.6,613.4,613.4
2027,1010.4,1131.1,1604.9,1151.1,998.1,939.5,821.4,1290.4,684.7,903.4,976.8,1308.5,1355.3,1039.6,1036.7,1379.3,1447.1,1346.6,886.9,684.7
2028,1000.2,774.1,1339.6,1118.2,1114.4,1036.9,764.5,1331.4,797,760.4,1315.6,1333.1,1744.7,1070.9,859.4,1427.7,1280.3,1376.4,870.5,760.4
2029,1085.2,994.1,1335.8,1092.7,1127.3,998.1,876.7,1464.7,779.5,760.6,1171.9,1430.8,1660.9,1186.9,1042.6,1239.6,1300.4,1507.3,770.1,760.6
2030,896.2,1147,1377,1141.3,1248.2,1074.1,740.1,1483.1,763.6,689.3,930.5,1334.4,1377.3,1029.5,1028.8,1311.1,1516.9,1501.4,874.6,689.3
2031,821.1,945.3,1453.7,1187.8,1044.4,1239,733.4,1156.3,814.4,846,1150.3,1437.8,1296.6,1053.9,878.4,1399.9,1193.1,1792.7,886,733.4
2032,970.7,1136.2,1368.8,1187.7,1132.4,855.7,724,1358.5,748.6,813.1,1097.5,1468.3,1688.9,1045,1000,1767.6,1327.7,1529.4,848.7,724
2033,1042.7,838.1,1341.8,1142,1130.9,1220.6,843.5,1267.5,847.5,832.1,1250.2,1326,1612.2,1168,1227.6,1337.4,1481.8,1472,826.2,826.2
2034,1012.2,1042,1250.6,1240.9,1111.6,1146.6,796.8,1398.9,900.8,871.2,1327.6,1442.1,1553.2,858.8,804.9,1320.4,1589.4,1760.1,714.9,714.9
2035,945.2,859.3,1749,1059.8,1090.2,1214.1,857.9,1261,915.4,815.1,1296.4,1521.8,1333.2,1121.8,872.1,1078.8,1552.3,1355.7,877.7,815.1
2036,1041.2,1014.2,1426.4,1263.3,1192.8,1231.1,775.4,1229.6,769.1,698.1,1266.3,1094.7,1463.5,1129.2,939.5,1217.5,1426.9,1710.6,893.4,698.1
2037,722.7,946.4,1486.4,1038,1126.9,1124.3,822.1,1343.9,832.4,897.1,1098.7,1471.9,1521.8,1157.1,937.1,1455.6,1464.5,1474.9,762.7,722.7
2038,926,1276.2,1320.4,1259.9,1072.6,1152.7,811.7,1186.9,902.6,865.1,1381.8,1504.4,1329.6,1054.5,800,1282.9,1711.7,1819.5,780.1,780.1
2039,893.5,988.9,1267.8,1218,962.1,1214.4,875.1,1429.4,899.2,682,1274.3,1402.9,1434.7,1054.7,1233.9,1312.8,1394.9,1947.2,823.1,682
2040,701.8,941.8,1189.1,1201.6,1201.2,987,864.8,1500.1,725.1,868.8,1297.8,1572.1,1389.6,1020.3,818.7,1161.3,1280.5,1706.1,773.9,701.8
2041,808.3,965,1405.9,1010,1184,1152.2,739.5,1590.2,857.5,643.1,1253,1393.4,1731,1147.2,820.5,1566,1684,1388.6,825.9,643.1
2042,988.3,983.6,1594.6,1151.2,999.8,1228,803.1,1321.7,963.3,761.1,1239,1568.9,1471.8,1158,1004,1533,1405.5,1726,880.2,761.1
2043,970,833.2,1504.6,1189.5,1183.6,1156.4,888.2,1269,798.1,725.7,1352.5,1463,1579.2,1114.3,892.4,1438.2,1400.4,1460.7,916.8,725.7
2044,1000.4,1095.5,1202.1,1194.4,1040,1194.2,689.1,1254.8,902.5,868,1185.7,1330.6,1425.3,1164.5,964.3,1452,1221.3,1268.2,864.3,689.1
2045,1035.1,891.1,1163,992.4,1048.4,885.4,693.8,1307.7,939.9,809.4,1207,1314.2,1743.5,1223.4,886.9,1311.7,1245.1,1300.3,780,693.8
2046,988.1,1042.5,1621.2,1106.4,1200.2,1192.3,775,1264.7,922.5,870.4,1182,1461.8,1613.6,1144.4,791.8,1371.2,1300.8,1564.4,687.6,687.6
2047,901.9,796.6,1612.3,989.5,1155.2,1156.6,794.9,1481.4,963.8,675,1134.2,1481.5,1227.6,1024,1046.5,1253.8,1415.3,1601.1,806.4,675
2048,868,941.8,1390.6,1227.6,1216.1,1063.4,851.6,1465.6,803.2,761.8,1230.1,1618.3,1417.7,1094.2,1081.7,1327,1289.6,1454.8,796,761.8
