"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,75,21.6,64.9,57.7,63.9,64,NA,61.4,68,68.5,73.7,65.8,80.4,63.2,63,63.7,66.6,93.2,63.5,21.6
1851,71.4,18.3,59.4,61,66.9,65,66.8,58.6,64.8,66.8,69.6,65.7,82.1,61.6,63.3,59.6,67,92.3,65.3,18.3
1852,71.5,21.9,61.3,61.7,66.1,61.2,67,56.7,68.1,68.3,73,63.8,80,64.6,63.9,59.9,65.9,93.6,64.4,21.9
1853,75.6,17.9,62.9,60.6,65.4,62.5,67.9,63.2,67.6,68.6,72.2,60.6,79.1,65.2,61,61,67.5,93.7,64.2,17.9
1854,73.5,23.3,61.7,60.1,65.3,62.2,67.2,58.5,69.3,67.2,70.8,63.8,80.3,64.2,64.3,61.9,64,92.8,62.1,23.3
1855,71.6,20.3,65.5,58.9,61,67,66.6,62.3,66,64.1,71.4,65.5,79.2,65.6,65.1,59.9,67.8,92.6,65,20.3
1856,71.4,18.2,65.2,59.7,64.8,64.2,65.5,61,67.9,67.9,71.7,64.5,78.9,66,65.2,62,64.7,92.2,65.2,18.2
1857,69.8,22.6,65.7,58.9,62.2,64.7,63.1,61.1,68.6,68.6,70.5,63.9,79.9,65.3,63.1,61.2,68.5,91.8,65.2,22.6
1858,71.4,16.4,62,58.5,64.7,64.2,67.7,57.5,70.3,66.6,71.9,62.2,79.6,61.2,58.4,60.2,68.2,92.1,67.1,16.4
1859,72.3,18.8,65.8,60.9,65.4,63.9,64.6,58.1,68,63.1,74.2,64.9,80,64.4,64.6,62.5,64.1,93.1,62.7,18.8
1860,71.1,25.7,63.5,59.3,64.1,63.6,66.1,58.4,68.7,68.5,72.7,65.9,78.1,64.3,61.1,64.9,66,93,66.1,25.7
1861,69.6,20.4,62.6,60.9,64.3,66.2,64,57.5,66.9,67.2,70.4,67.3,80.3,63.2,60.6,65,65.2,93.6,65.5,20.4
