"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1850,16.1,21.5,10.6,11.9,14.5,15.3,NA,13.5,15.4,13.2,19.1,8,17.5,21,13.3,11.9,13.9,8.6,10.9,8
1851,15.2,20,11.3,13.2,12.7,15.2,13.4,14.8,12.2,13.2,16.6,9.9,17.1,20.3,12.4,11.7,16,8.3,12.2,8.3
1852,14.5,21.6,12,13.7,13.4,15.1,12.6,14.6,14.9,14.3,17.7,8.2,17,18.4,12.8,11.4,15.9,7.9,12.3,7.9
1853,14.8,17.6,12.9,10.3,14.3,15.9,13,12.9,15.8,13.7,18,8,19.2,19.3,13.6,10.6,14.1,8.6,13.4,8
1854,13.8,18.6,13,12.8,12.6,16.3,11.7,11.3,17.9,15.5,18.1,8.2,17.6,20.7,12.2,10.9,13.6,5.6,14.1,5.6
1855,15.7,18.3,13.1,11.6,12.7,14.8,12.4,11.4,14.5,14.6,16,8.5,17.6,19.5,13.7,10.8,14.6,9.6,12,8.5
1856,15.9,21.6,10.3,12,14.4,14.9,11.7,11.3,15.1,14,18,9.4,18.6,17,13.1,9.6,14.6,10.8,13,9.4
1857,17.2,19.4,8.1,13.6,14.6,16.2,10.7,12.9,17,15.8,17.3,9.7,18.5,18.7,11.2,11.3,13.7,8.7,12.3,8.1
1858,15.2,21.3,13.8,13.7,14.6,14.1,12.4,13.8,15.9,13.4,17.4,8.9,15.5,18.6,13.1,13,15.4,8,13.9,8
1859,14.8,24.5,13.5,13.1,11.5,16.4,14.4,14.3,16.3,14.5,16.9,9.9,18.5,20.7,12.6,11.8,14.8,8.8,14.5,8.8
1860,15.8,21.2,12.6,14.2,15.3,15.3,14.9,14.3,13.2,16.7,18.1,9.8,16.8,19.4,13.2,10.1,13.4,9.1,13.5,9.1
1861,16,20.9,12.2,13.3,14.2,13.1,13.6,11.9,16.7,15.1,17.9,7.9,17.4,20.1,15.4,11,13.4,7.6,12.8,7.6
1862,17.3,20,10.2,10.2,14.7,15,13,12.2,15.5,12.2,17.5,8.3,18.6,19.9,12,11.1,16.1,8.8,11.5,8.3
1863,14.4,20.3,11.1,12.3,15,16.1,15.4,13.4,15,14,17.2,10,18.1,18.9,12.6,10,13.6,8.7,13.4,8.7
1864,15.7,18.3,13.7,11.9,13.6,16.5,13.1,12.5,15.8,13.2,17,7.3,17.2,19,12.3,11,14.4,9,13.2,7.3
1865,15.3,19.2,13.8,12.9,15.7,15.1,12.7,14.4,17.8,12.6,17.2,9,18.4,19.6,13.9,9.6,15.1,7.4,13.6,7.4
1866,15.8,18.7,15.6,13.4,13.4,14,12.9,12.4,15.9,13.1,17.1,10,19,20.2,12.9,10,14.6,8,12.4,8
1867,16.1,17.9,14.8,12,13.3,14.4,10,13.9,14.9,12.8,16.8,9.7,17.8,19.2,11.9,12.4,13.8,8.8,12,8.8
1868,16,21.8,13.6,11.7,13.6,15.6,16.5,12.7,16.6,11.5,17.6,9.1,18.2,18.6,10.8,10.1,15.4,9.1,13.6,9.1
1869,15.4,18.9,12.6,11.4,11.5,15.4,11.8,13.9,17.4,14,16.6,9.4,17.6,21.2,12.4,9.6,13.4,7.3,13.9,7.3
1870,16,19.5,12.3,12.7,15.2,17.7,12.9,13.5,16,13.2,16.6,10.1,17.5,20.7,12.9,11.2,14.4,6.9,12.4,6.9
1871,15.1,20.1,15.3,13,11.6,15.7,15,12,13.5,15,16.7,7.9,16.3,16.3,12.6,10.9,15.6,8.8,12,7.9
1872,14.2,23,10.5,12.7,13.8,15,14.7,13.1,15.6,13.3,16.8,9.1,17,19.2,14.2,11.9,12.3,9.7,12.8,9.1
1873,14.1,20.5,11,13.4,13.3,17.2,13.8,14.4,17.9,13.5,15.7,9.6,17.7,19.1,13.8,11.3,13.9,8.2,12.7,8.2
1874,14.9,22.8,9.5,12.4,13.8,15.7,12.9,12.6,18.4,13.6,17.7,8.3,15.4,19.4,13.2,10.2,13.2,8.4,12.8,8.3
1875,14.9,20.1,12,12.5,12.6,15.4,13.2,13.1,17.4,13.8,16.6,9.9,18.8,17.9,12.9,9.5,14.2,7.6,12.4,7.6
1876,16.5,21.1,12.5,13.3,11.3,14,10.8,12.6,13,12.9,17.5,8.4,17.8,18.8,14.4,9.6,15.9,8.5,12.8,8.4
1877,15,24,12.1,11.9,14.3,15,13.5,13.6,16.6,14.9,16.4,8.5,18.1,18.8,12.4,11.2,13.2,9.3,12.6,8.5
1878,14.2,22,12.2,12.1,13,14.1,11.7,13.5,18.5,13.2,17.1,8.6,16.8,19.8,11.8,12.4,15,8.5,12.7,8.5
1879,16.3,23.6,11.2,12.8,15.9,15.1,12.8,13.6,15.5,13.3,18.5,8.6,16.5,20,12.8,12.1,15.1,7.2,12.5,7.2
1880,15.5,19.3,13.7,11.9,14.6,15.2,13.5,12.9,14.2,12.8,16.8,8.3,17,20.7,13.4,11.7,15.7,8.2,14,8.2
1881,16,20.3,10.3,12.2,13.6,15.9,14.7,12.3,17.3,11.7,17.1,7.5,19,20.1,14.4,12.2,14.2,8.8,13.3,7.5
1882,16.5,19.6,13.7,12.6,13.1,15.6,13,14.9,16.9,14.6,17.7,8.3,19.4,18.6,12,11.5,15.2,8.7,13.7,8.3
1883,14.9,18,11.2,12.9,14.9,13.9,13.1,13.8,16.6,12.9,17.4,9.5,16.7,18.1,12.7,11.7,13.7,8.7,12.2,8.7
1884,14.7,23.1,12.7,12,13.1,13.4,11.9,14.6,14.6,14.8,16.7,8.2,16.3,20.3,13.4,9.9,14.1,7.9,10.4,7.9
1885,15.6,21.3,11,12.5,13.7,14.9,13.5,11.6,17.8,13.6,17.8,9.3,16.8,17.9,13.5,10.5,14.7,7.2,12.7,7.2
1886,16,20.2,11.9,11.8,13.1,14.6,11,13.2,13.7,13.7,18.5,9,16.9,18.6,12.1,11.5,16,8.5,11.6,8.5
1887,14.9,22.2,13.3,12,13.3,13.9,12,11.5,13.6,13.4,18.9,7.5,18.6,19.1,14.4,13,14.2,7.5,13.5,7.5
1888,14,19.1,11.9,11.8,13.5,15.1,12,12.8,15.2,12.9,17.2,8.9,18.1,20,13.8,11.3,13.5,9.2,13.3,8.9
1889,14.9,23.4,15,11.4,13.3,14.8,13.5,13.8,17.3,13.9,16.7,8,15.8,17.8,13.1,12.2,12.6,8.7,11.4,8
1890,14.3,22.7,12.4,9.2,13.5,16.5,12.7,14.7,19,16.5,17.2,9.9,16.8,21.5,11.2,10.4,14.2,7.4,13.6,7.4
1891,16,16.8,8.9,12,11.9,14.5,10.6,14.4,16.2,13.7,18,8.8,17.5,19.3,13.2,10.2,15,8,11.9,8
1892,16.8,21.6,12.4,12.4,13.8,14.6,13.5,13.1,15,15.1,16.5,7.7,18.3,17,12.5,11.1,15.3,9.2,13.1,7.7
1893,14.5,20.2,10.2,11.8,13.8,16.2,10.5,13.9,15.8,13.8,17.2,9.9,18.1,18.8,11.2,11.1,13.1,8.6,12.6,8.6
1894,14.8,21.6,13.7,12.1,15,14.4,12.6,11.9,13.4,13.1,16.3,9,17.2,19.6,13.1,10,13.8,8.2,13.7,8.2
1895,14.3,21.4,11,11.9,14.6,14.7,12.9,13.1,16.9,15.5,17.6,8.3,17.6,19.8,13.3,9.9,13.5,8.6,12.8,8.3
1896,14.9,20.9,12.8,12.2,14.3,16.9,10.1,14.5,15.4,16.2,16.5,8.8,17.5,18.8,13.4,9.7,13.1,7.7,12.1,7.7
1897,15.8,21.2,10.2,12,13.6,15.5,12.4,13.1,17.7,15.2,18.4,9,16.9,18.7,14.3,9.9,16.5,8.6,11.9,8.6
1898,14.9,19.5,16.7,11.7,13.9,15.4,12.5,12.6,16.5,14.9,18,9.6,18.2,21.7,12.9,10.3,15.1,9.4,13.1,9.4
1899,15,19.8,14.8,12.8,14.4,15.5,13,13.1,14.8,11.9,17.1,8.8,18.5,19.2,11.6,10.8,10.8,9,12.8,8.8
1900,17.4,18.7,10.3,12.6,12.2,15.4,12.3,15.4,12.8,14.3,17.1,9.4,20.5,21.7,14.9,11,14.4,8.1,12.3,8.1
1901,13.8,20.6,14,10.7,13,14.2,12.3,13.4,14.5,13.1,16.7,8.9,18.1,20.5,12,11.1,15.3,7.2,12.7,7.2
1902,14.8,19.7,10.8,10.9,12.4,15.1,10.6,11.6,17.9,14.5,16.5,9.7,17.9,18.5,13.6,12.7,14,8.2,11.6,8.2
1903,15.1,21.8,9.7,10.4,11.9,13.6,13.2,14.6,14.3,15.8,16.6,9,16.7,19.2,12.9,10,13.2,8.1,11.4,8.1
1904,14.8,20.2,13.5,11.4,13,15.2,14.5,11.3,17,14,16.1,9.5,17,17.8,14.7,10.8,14.4,8.9,12.3,8.9
1905,15.9,18.8,15.5,11.7,12.6,14.9,12.4,14.6,13.5,12.7,18.5,8,16.9,16.6,11.4,10.9,15.2,7,13.1,7
1906,15.1,23.4,9.9,11,13.7,16,11.8,13.3,12.6,12.5,17.7,8.6,17.2,21.5,11.4,9.5,14.7,6.3,12.2,6.3
1907,13.5,22.7,12.2,10.2,13.5,14.4,13.1,12.6,15.5,13.5,17.8,7.4,17.9,18.1,11.6,10.9,14,9,12.3,7.4
1908,15.5,21.5,11.7,10.7,13.7,15,12.1,12.7,13.4,12.2,16.9,9.2,18.6,19,12.1,11,14.5,8.6,12.7,8.6
1909,13.5,19.4,11.3,11,12.2,14.7,12.6,13.9,15.7,14.4,16.9,9,17.4,20.1,14.1,11.8,13,8,12.3,8
1910,15.5,22.8,10.9,11.9,13,15.3,9.6,13.6,16.1,15.5,16.5,8.2,17.8,17.6,13.3,10.1,13.9,8.1,11.5,8.1
1911,14.2,19.9,13.4,11.2,13.4,15.8,13,12.6,16.2,14.8,17.8,8.8,18.7,20,13.5,11.1,13.8,7.2,12.4,7.2
1912,16,17.8,15,11,12.8,14.2,12.8,14.2,13.3,12.4,17,11.2,17.3,17.8,13.2,10.3,14.4,8.3,12,8.3
1913,14.8,19.4,15.8,11.2,14.2,15,14.1,12.4,13.8,12.2,16.2,8,16.6,20,12.4,11.4,14.2,9.1,11.9,8
1914,14.9,20.3,7.7,10.7,14.5,14.4,15.1,12.9,14.5,12.4,17.7,7.9,17.7,19,11.5,11,14.8,4.7,11.7,4.7
1915,15.2,22.2,11.8,13.1,12.1,13.8,13.4,12.8,16.2,14.3,17.5,7.5,18.5,19.4,12.8,11,15.2,7.4,11.5,7.4
1916,15.3,22,11.3,10.9,13.5,15.9,14.7,14.1,12.4,12.6,16.7,8,18.5,19.1,13.6,10.2,13,6.7,11.5,6.7
1917,13.1,22.1,14,12.9,12.6,15.3,16.7,14.2,15.9,13.8,16.1,9.8,19.1,19.4,13.5,10.6,15.2,9.7,10.3,9.7
1918,14.9,19.6,9.8,13,13.6,15.6,13.1,12.8,17.1,16.7,16.3,8.2,17.9,18.2,13.5,9.9,15.3,7.3,12.6,7.3
1919,15.2,22,13.4,11.8,14.7,15.4,11,13.9,14.7,13.5,17.6,9.7,17.9,18.3,12.4,11.1,13.1,6.4,12.3,6.4
1920,13.4,21.8,13.8,11.7,12.8,15.7,12.6,13,17.7,14.1,18.1,10.3,17.4,19.8,13.4,10.4,14.1,9.3,14.1,9.3
1921,14.9,19.4,14.8,14.6,12.2,16.5,10.9,12.7,16,13,16.9,10,17.8,18.5,13,12.5,15.3,8.7,11.8,8.7
1922,16.4,21.5,10.8,11.3,14.1,16.4,13.6,13.4,13.7,12.2,17.1,9,15.9,18.2,12.5,12.8,16.1,8.6,11.1,8.6
1923,15.8,22,10.8,12.5,14.1,16.5,13.4,12.4,15.3,13.9,17.4,7.8,16.2,18.7,13.2,10.9,13.3,9.4,11.9,7.8
1924,16.6,22,12.5,12.4,13.4,15.2,13.4,12.8,14.3,12.3,16.9,8.7,18.2,18.3,12.7,11.5,14.7,9.4,11,8.7
1925,15.5,19.7,15,12.7,14.5,14.6,13.9,15.3,15.2,14.7,16.7,7.7,18.7,18.7,13.5,9.7,15,9.4,12.1,7.7
1926,15.5,21.7,18.4,11.9,13,13.4,12.7,13.9,14,14.3,18.1,8.6,14,19.9,14.5,11.4,16,9,11.3,8.6
1927,15.9,21.7,10,12.2,14.1,14.7,12.6,13.7,15.6,14,18,9.5,16.8,17.3,12.1,9.9,16,7.9,13.3,7.9
1928,15.9,19.5,12.8,13.1,13.6,16.3,13.4,13.3,19.1,14,17.9,9.9,17.3,19.9,13.8,11.8,14.5,8.5,10.6,8.5
