"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,3.8,16.3,3.1,2.2,8.8,9.4,5,4.1,3.5,NA,9.4,5.3,7.5,6.9,2.8,2.5,4.9,NA,5.4,2.2
2016,4.5,19.4,3.1,4.3,6.6,5.7,5.1,5.8,3.7,NA,9.3,5.1,7.8,8.7,2.1,1.9,5.4,NA,8,1.9
2017,5.2,17.6,3.5,3.7,5.8,5.9,6.4,7.5,3.6,NA,6,3.4,9.5,6.8,3.4,1.3,5.4,NA,5.1,1.3
2018,2.4,19.7,5.6,4.5,6.7,8.1,6.2,4.4,2.4,NA,7.6,5,5.5,8.3,4.4,3.2,5,NA,4.3,2.4
2019,5.6,10.6,2.9,3.5,7.3,7.8,5.3,6.6,2.9,NA,9.3,5.6,6.7,6.9,3.9,1.7,5.4,NA,6.1,1.7
2020,6.3,18.8,7.3,4.6,5.2,6.1,5.7,7.2,3.7,NA,7.5,3.4,7.9,6.8,5.2,2.8,6.3,NA,6,2.8
2021,6.3,9.4,6.3,5.3,8.1,5.9,4.8,5.9,3.5,NA,8.3,5.3,8.1,7.4,5.2,1.5,5.5,NA,7.9,1.5
2022,3.9,10.9,5.7,4.9,5.9,9.6,6.9,7.4,4.2,NA,8.7,3.4,9.2,8.2,3.6,2.5,6.5,NA,6.3,2.5
2023,6,16.5,6.1,3.6,7.7,8,3.3,9,4.1,NA,8.9,6.9,8.1,7.6,5.2,2.2,5.9,NA,4.9,2.2
2024,7.5,16.5,8.1,4.9,7.3,6.6,7.1,5.3,2.2,NA,9,5.1,7.6,7.9,3.8,3.2,6.3,NA,7,2.2
2025,6.7,17.2,6.8,5.2,4.5,7.1,7.1,10.3,4.1,NA,9.6,4.7,9.3,8.2,3.9,2.4,5,NA,8.7,2.4
2026,7.7,18.1,4.1,5.6,5.9,6,6.3,5.3,4.3,NA,9.9,4.7,7.8,9.5,5.6,1.8,5.5,NA,5.6,1.8
2027,7.2,10.9,5,6.6,6.3,8.7,6.4,3.6,4.5,NA,10.3,4.8,7.9,8,5.3,3.6,6.2,NA,7.5,3.6
2028,6.2,22.3,10.4,4,7,8.2,7,4.4,2.2,NA,8.2,3.9,6.5,7.5,2.9,3.3,6.6,NA,8,2.2
2029,7.5,16.1,5.1,6.3,6,10.2,5.1,1.9,3.9,NA,7.6,4.1,7.4,7.7,5.7,2.4,7.4,NA,6.9,1.9
2030,6.2,24.9,7.6,5.2,5.3,8.8,5.2,8,3.2,NA,7.7,6,5.9,8.5,4.6,2.8,5.2,NA,7.5,2.8
2031,4.7,14.1,9.8,4.6,6.8,11.2,8.5,2.8,4.5,NA,8.7,5.8,8.6,7.2,4.5,1.9,7,NA,7.6,1.9
2032,6.4,19,3.6,6,6.9,8.7,7.7,6.7,3.2,NA,8.7,4.5,6.7,7.7,5,1.7,6.3,NA,5,1.7
2033,5.9,17.5,10.2,4.5,6.8,7.2,7.6,7.6,4.7,NA,8,4.8,8.6,7.2,5.7,2.9,6.3,NA,7.4,2.9
2034,7.2,21.1,5.3,4.6,6.1,6.1,7.5,7.2,4.1,NA,8.9,5.4,10.8,7.3,2.5,2.3,7.4,NA,6.7,2.3
2035,6.5,20.4,10.7,4.4,7.8,7.6,5.1,8.6,5.9,NA,9.9,4.4,8.4,11.4,3.6,3.5,3,NA,9.4,3
2036,4.6,8.1,4.7,4.7,6.3,8.2,5.9,7.6,2.9,NA,8.4,5.1,10.5,10.8,3.4,3.3,6.3,NA,8.8,2.9
2037,5.6,19,5.9,5.4,6.4,6.3,7.3,7.5,3.1,NA,9.1,3.8,8.6,8.2,4.6,4.3,6.9,NA,7,3.1
2038,6.5,13,4.4,6.2,6.5,6.8,7.4,6.3,5.6,NA,8.4,5.3,9.7,8.1,4.4,4.4,6.8,NA,7.7,4.4
2039,6.6,15,5.5,6.3,7.3,7.3,6.5,7.5,5.5,NA,8.3,5.6,9.2,8.4,4.2,-0.5,4.6,NA,8.6,-0.5
2040,7,15.9,7.5,6.9,7.8,7.7,4.3,6,4.8,NA,8.8,6.5,8.5,9.8,2.4,1.9,5.7,NA,9.4,1.9
2041,6.7,14.1,4.7,6.9,5.5,6.3,5.5,5.9,4.4,NA,8,6.6,10,8.9,2.8,4.9,5.5,NA,5.6,2.8
2042,8.5,16.6,6,5.8,6.9,8.8,6.8,8.5,3.3,NA,9,6.4,8.4,9.5,4.7,2.9,6.5,NA,8.2,2.9
2043,6.9,17.6,4.4,4.4,6.8,8.9,6.7,6.1,3.3,NA,9,4.9,8.6,11.1,4.3,3.7,7.8,NA,8.6,3.3
2044,7.9,24.8,8.1,6.1,9.6,7.1,7.1,7.4,5.2,NA,11,6.4,6.4,9.5,4.6,3.9,6.1,NA,8.8,3.9
2045,6.7,14.3,5.2,5.9,7.1,7.3,9.1,5.9,3.6,NA,8.2,7.4,10.2,7.9,3.5,4.4,7.3,NA,9.3,3.5
2046,6.9,13.7,8.1,6.5,7.9,6.7,5.3,5.7,4.9,NA,10.6,6.2,10.6,9.8,5.6,3.3,7.4,NA,7.1,3.3
2047,6.5,22.1,6,6.1,6.9,8.2,8.9,4.8,4.6,NA,8.2,5.4,8.6,9.2,5.6,2.9,6.9,NA,9.8,2.9
2048,4.9,16.2,7.5,6.8,7.7,11.2,7.1,4.4,4.3,NA,9,5.6,9.2,9.1,4.1,4.6,6.5,NA,9.5,4.1
2049,6,18.6,6.1,5.9,8.3,8.8,6.8,7.6,4.8,NA,9.7,5.4,10.4,8.5,4.5,3.6,7.1,NA,8.1,3.6
2050,9.1,19.5,9,6.3,8.6,6.7,7.6,5.8,4.2,NA,9.7,5.6,8.8,8.8,5.1,4.2,8.2,NA,6.8,4.2
2051,9.5,19.7,5.2,7.6,8.8,7.1,10.6,4.8,4.6,NA,9.6,7.2,8.6,10.1,5.4,1.7,5.8,NA,7.4,1.7
2052,8.7,19.7,7.5,6.3,7.9,7.5,10.4,5.8,4.7,NA,8.7,6.5,8.2,8.5,3.8,3.3,4.8,NA,12.8,3.3
2053,8.3,19.3,9,7,7.6,8.8,6.5,4,4.7,NA,9.4,6.2,8.3,10.2,4.8,4.6,8.1,NA,8.5,4
2054,8.8,15.7,6.9,7.2,10.1,7.3,8.2,7.8,4,NA,8.7,6.2,10.7,10.7,5.3,3.3,7.3,NA,7.7,3.3
2055,7,16.3,12,6.9,8.9,6.4,7.8,4.6,3.9,NA,9.6,7.2,9.6,9.7,5,4.5,6.3,NA,10.4,3.9
2056,8,20.4,8.1,6.4,8.6,7.4,9,9.1,5.8,NA,9.5,5.9,6.8,9.9,4.4,2.9,8,NA,9.6,2.9
2057,8,19.1,4.5,7.1,7.8,6.2,9.7,6.3,4.5,NA,9.2,8.1,7.3,7.2,4.7,3.5,7.4,NA,7.9,3.5
2058,7.9,9.5,9.4,7.9,4.7,9.1,9.4,7.7,5.3,NA,8.9,6.3,9.9,11.9,5.7,4.6,6.5,NA,9.3,4.6
2059,9.3,21.3,6.3,8.1,6.8,9.2,7.2,7.9,5.3,NA,10.2,6.8,8.3,10.4,5.8,3.7,4.7,NA,10,3.7
2060,8.2,16.5,8.5,8,7.6,9,6.8,8.3,6.8,NA,9.1,7,7.6,9.7,5.2,5.6,7.2,NA,11.7,5.2
2061,9.1,17.2,4.2,7.5,8,7.3,7.6,7.9,5.8,NA,6.8,5.4,9,11.3,6.7,5.5,7.5,NA,7.9,4.2
2062,8.7,13.5,8.4,8.2,6.3,8.6,10.2,5.3,5.4,NA,10.7,7.8,7.8,9.2,3.7,4.8,7.1,NA,11,3.7
2063,8.9,21.8,5.4,7.5,7,8.7,8.7,7.6,5.2,NA,10.3,5.3,10,9.6,6.5,5.9,8.2,NA,10,5.2
2064,6.7,15.2,7.6,7.9,6.7,9.1,6.8,5.5,5.2,NA,10.4,9.2,10.2,9,6,4.4,7.7,NA,11.3,4.4
2065,11,18,8.8,8.5,8.7,10.7,8.7,6.1,4.6,NA,9.2,8.5,10.9,10.4,5.6,3.8,6.7,NA,7.3,3.8
2066,10.1,19.7,7.3,8.2,8.2,8.6,11.2,8.3,5.7,NA,9.7,7.4,11.4,10,6.8,4.4,7.5,NA,9.8,4.4
2067,7.7,12.2,9.2,8.7,6.8,10.6,10.4,10.4,5.3,NA,9.2,7.2,8.9,9.7,4.6,4.4,5.2,NA,9,4.4
2068,8.9,22.7,8.9,8.3,9.8,9.5,8.7,5.3,3.9,NA,10.8,8.4,8.9,11.2,6,3.1,7.2,NA,10.9,3.1
2069,8.7,20.6,8.9,7.8,7.9,9.4,10.3,7.5,3.9,NA,9.8,8.7,9,9.8,6.1,3.8,7.4,NA,10.9,3.8
2070,8.2,12.9,8.9,7.6,7.4,9.3,11.8,6.8,6,NA,8.7,7,8.3,8.4,5.6,4.2,7.7,NA,9.5,4.2
2071,8,18.2,7,5.5,9,9.5,11,9.7,4.1,NA,11.1,7.5,10,9.3,5.4,4.2,7.4,NA,8,4.1
2072,8.9,12.9,6.2,8.3,10,8.1,6.7,8.3,5.2,NA,9.4,7.6,11.5,10.6,3.9,5.8,7.3,NA,9.7,3.9
2073,7.9,20.8,6.3,8.7,7.8,11.2,8.5,6.6,7.3,NA,9.2,7.3,10.5,10.9,6.3,5.3,6.2,NA,9.8,5.3
2074,8.8,25.1,7.5,9,7.2,9.8,10.5,10.7,4.2,NA,10.1,10.9,9.4,8.8,5.7,4.7,5.2,NA,9.7,4.2
2075,8.9,18.3,6.2,8.6,9.9,9.1,9.7,6.6,7,NA,9.2,7.3,10,9.2,4.6,3.3,7.4,NA,10.4,3.3
2076,9.2,18.6,7.2,8.9,7.7,8,9.8,7.8,6.6,NA,9.3,8.2,10.2,11.3,4.7,5.1,5.9,NA,13.1,4.7
2077,10,14.1,3.5,8.6,8.9,9.2,8.7,9.8,7.1,NA,8.5,7,9.3,11.4,4.3,4.7,7.7,NA,12.2,3.5
2078,6.1,14.8,6.7,10.1,8.1,10.5,9.2,8.1,5.2,NA,9.7,9,12.5,10.5,4.6,5.2,8.4,NA,12.4,4.6
2079,9.5,13.7,6,10.1,7.5,10.3,7.8,5.1,5.5,NA,11.5,9.4,11.4,10.5,6.1,4.6,6.5,NA,11.8,4.6
2080,8.1,20.9,7.8,10.1,8.8,11.6,12.3,6.7,4.9,NA,9.4,6.1,10.6,12.9,6.3,5.2,9,NA,13.5,4.9
2081,10.2,25.6,13.8,9.7,8.2,9.3,11,7,6.6,NA,10.1,6.7,10.8,11.3,5.2,4.3,8.4,NA,11.5,4.3
2082,10.4,25.3,11.2,9.5,9.8,12,11,8.6,5.4,NA,9.2,8,10.3,12,5.5,6.3,7.1,NA,12.4,5.4
2083,9.2,15.4,9.4,9.7,10.3,7.9,10.8,9.6,6,NA,10.8,6.1,11.4,12.2,6.3,5.6,7.5,NA,10,5.6
2084,7.7,16.8,7.3,10.4,9.2,9,9.2,8.7,5.8,NA,11.2,9.2,10.6,12.5,6.1,4.5,8.5,NA,11.9,4.5
2085,10.1,22.8,11.6,8.4,8.7,10.7,10,7,5.1,NA,10.4,8.8,9.3,9.5,5.7,4.8,8.5,NA,12.1,4.8
2086,8.9,17.6,10,10.6,9.7,11.2,11,10,5.6,NA,9.9,8.4,11.1,10.7,3.6,4.5,8.9,NA,9.8,3.6
2087,10.9,27.8,11.2,8.3,10.1,9.4,9.5,6.9,6.5,NA,11.6,9.9,10.3,9.1,7.1,7.1,9,NA,12.8,6.5
2088,9.6,19,6.4,10.1,9.8,9.9,9.7,10.2,4.2,NA,10.5,11.6,10.6,11.1,6.6,4,6.9,NA,12.1,4
2089,10.1,23.1,9.6,10.5,9.5,10.7,9.5,9.3,6.1,NA,9.6,10,9.6,10.8,6,4.4,8.6,NA,10.8,4.4
2090,9.6,13.4,7.9,9.8,9.4,11.1,11.8,10.3,6,NA,10.9,10.5,10.3,12.5,6.9,4.1,9.5,NA,10.5,4.1
