"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2015,303.7,283.4,205.7,174.5,135.1,131,115.7,306.9,72.1,NA,277.3,144.4,392.9,205.5,175.9,176.4,198,NA,301.1,72.1
2016,273,222.8,143.4,183.5,149.7,179.9,121.7,218.6,88,NA,268.4,181.6,384.4,259.1,247.6,224.2,195.2,NA,228.7,88
2017,174.7,250.3,248.8,185,174.4,47.2,198.3,353.4,129.7,NA,172.4,262.9,354.3,212.1,205.3,221.7,171.9,NA,257.9,47.2
2018,279.4,245.3,231.9,184.9,95.4,118.1,175.6,319.9,74.3,NA,228.6,261.4,402.5,213.6,173.8,187.3,186.6,NA,144.5,74.3
2019,343.7,261.4,207.7,202,110.7,97.4,139.1,267.3,86.5,NA,279.1,172.3,379.3,211,162.7,218,235.5,NA,323.6,86.5
2020,204.8,410.4,117,187.9,189.2,134.2,113.4,301.9,98.7,NA,266.8,212.3,463.6,225.6,198.4,206.4,244.3,NA,207.4,98.7
2021,289.5,283.9,185.7,183.2,108.7,100.1,173.4,302.1,138.9,NA,231.7,215.6,444.6,200.1,144.1,158.8,182.8,NA,255.7,100.1
2022,254.2,276.1,182.3,226.9,128.8,85.5,141.1,283.8,83.6,NA,260.3,210.6,374,210.8,219.3,175.3,200.4,NA,252.5,83.6
2023,263.6,232.9,164.3,229.9,148.6,66.4,189.1,316.3,87.2,NA,281.7,188.5,527.7,312.3,109.3,201.7,156.6,NA,164.8,66.4
2024,289.8,255.8,200.6,188.3,147.1,105.9,157.2,308.4,79.3,NA,178.4,184,364.3,262.9,127.9,153,162.1,NA,254.6,79.3
2025,328.6,258,160.3,168.6,111.7,90.7,126.4,299.3,129.3,NA,215.3,192.2,338.1,181.6,179.7,201.4,187,NA,205.2,90.7
2026,254.4,261.1,244.5,161.6,145.8,106,131.3,331.4,97,NA,258.6,185.6,412,268.9,203.6,180.4,231,NA,270.1,97
